family,queries,attempts,exact_attempts,exact_attempt_rate,queries_with_any_exact,exact_zero_queries,mean_score,mean_row_set_correctness,mean_numeric_correctness,dominant_failure_mode
outer_join_coverage,6,234,54,0.23076923076923078,5,1,0.8253341797091797,0.8931714119214119,0.7475308641975309,same_count_wrong_values
join_key_integrity,2,78,29,0.3717948717948718,2,0,0.896011396011396,0.896011396011396,0.896011396011396,same_count_wrong_values
snowflake_traversal,3,117,7,0.05982905982905983,2,1,0.6638515805182472,0.6698548365215031,0.7494912494912495,row_count_mismatch
repairability_review,1,39,3,0.07692307692307693,1,0,0.9886039886039886,0.9886039886039886,0.9886039886039886,same_count_wrong_values
inner_join_accuracy,1,39,3,0.07692307692307693,1,0,0.8121794871794872,0.8059116809116809,0.8685897435897436,row_count_mismatch
decision_support,11,429,3,0.006993006993006993,1,10,0.5350767935767936,0.6843184593184594,0.32294224294224294,row_count_mismatch
orphan_key_audit,3,117,3,0.02564102564102564,1,2,0.2751851851851852,0.33133903133903136,0.8273504273504273,same_count_wrong_values
audit_reconciliation,1,39,0,0,0,1,0.8490384615384615,1.0,0.4967948717948718,same_count_wrong_values
failure_family_audit,1,39,0,0,0,1,0.7921016483516483,0.989010989010989,0.6073717948717948,same_count_wrong_values
sorting_presentation,1,39,0,0,0,1,0.7173611111111111,0.8319088319088319,0.8669871794871795,row_count_mismatch
repeatability_probe,1,39,0,0,0,1,0.7108974358974359,0.9102564102564102,0.24572649572649571,same_count_wrong_values
expression_mapping,1,39,0,0,0,1,0.6411794871794873,0.8179487179487179,0.48,row_count_mismatch
expression_transform,2,78,0,0,0,2,0.6084264738110892,0.7774983563445101,0.26837606837606837,row_count_mismatch
aggregation_numeric,9,351,0,0,0,9,0.5474536095808026,0.7311703079246938,0.3250039569484014,row_count_mismatch
statistical_summary,4,156,0,0,0,4,0.5406116452991453,0.8094907407407408,0.09094551282051282,same_count_wrong_values
presentation_table,1,39,0,0,0,1,0.471007326007326,0.5454212454212454,0.6089743589743589,row_count_mismatch
ranking_and_priority,2,78,0,0,0,2,0.40580092983939137,0.5109350051657744,0.28846153846153844,row_count_mismatch
