model,display_model,pass,exact_attempts,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact
gemma4-31b-sqlbench:latest,Gemma 4 31B,1,13,0.92525,0.7890972222222222,0.9958333333333333,0.8494444444444444,exact,1,13,13
gemma4-31b-sqlbench:latest,Gemma 4 31B,2,12,0.9202222222222222,0.7911111111111111,0.9833333333333334,0.8618518518518519,same_count_wrong_values,3,15,12
gemma4-31b-sqlbench:latest,Gemma 4 31B,3,9,0.8665,0.7008333333333333,0.955,0.77,same_count_wrong_values,6,15,9
gemma4-31b-sqlbench:latest,Gemma 4 31B,4,3,0.6602,0.5134325396825397,0.7488095238095238,0.6756666666666666,row_count_mismatch,14,13,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,5,0,0.7158694444444444,0.37317460317460316,0.9216666666666666,0.34975,same_count_wrong_values,9,21,0
gemma4-26b-sqlbench:latest,Gemma 4 26B,1,9,0.8225,0.6455555555555555,0.9069444444444444,0.7347222222222223,row_count_mismatch,12,6,9
gemma4-26b-sqlbench:latest,Gemma 4 26B,2,6,0.7889563492063493,0.5814656084656085,0.8628968253968254,0.7642592592592593,row_count_mismatch,11,10,6
gemma4-26b-sqlbench:latest,Gemma 4 26B,3,3,0.5700912698412698,0.5230952380952381,0.6295238095238095,0.6008333333333333,same_count_wrong_values,13,14,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,4,0,0.5587460317460318,0.36637566137566135,0.6951984126984126,0.5211507936507936,same_count_wrong_values,15,15,0
gemma4-26b-sqlbench:latest,Gemma 4 26B,5,0,0.6278980158730159,0.34889682539682537,0.8426190476190476,0.2861944444444445,same_count_wrong_values,10,20,0
qwen3.6-sqlbench:latest,Qwen3.6,1,6,0.8417777777777777,0.6277777777777778,0.9555555555555555,0.7022222222222222,same_count_wrong_values,9,15,6
qwen3.6-sqlbench:latest,Qwen3.6,2,6,0.7308611111111111,0.6019907407407408,0.8108333333333333,0.6972222222222222,row_count_mismatch,15,9,6
qwen3.6-sqlbench:latest,Qwen3.6,3,0,0.662875,0.6405555555555555,0.74,0.59625,same_count_wrong_values,9,21,0
qwen3.6-sqlbench:latest,Qwen3.6,4,0,0.5413603174603174,0.3587037037037037,0.6344444444444445,0.5615714285714286,row_count_mismatch,18,12,0
qwen3.6-sqlbench:latest,Qwen3.6,5,0,0.572875,0.283505291005291,0.7694444444444445,0.23458333333333334,same_count_wrong_values,12,18,0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,1,7,0.8395277777777778,0.6934027777777778,0.9166666666666666,0.7262037037037037,same_count_wrong_values,11,12,7
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,2,3,0.7808333333333333,0.6213888888888889,0.8677777777777778,0.7483333333333333,same_count_wrong_values,10,17,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,3,1,0.690875,0.6271296296296296,0.7661111111111111,0.6690277777777778,same_count_wrong_values,11,18,1
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,4,0,0.49603492063492066,0.32463888888888887,0.6222222222222222,0.4541904761904762,row_count_mismatch,24,6,0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,5,0,0.5893194444444444,0.2790687830687831,0.8133333333333334,0.22402777777777777,same_count_wrong_values,15,15,0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,1,6,0.8454444444444444,0.6835185185185185,0.9412037037037037,0.758425925925926,same_count_wrong_values,8,16,6
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,2,3,0.6333888888888889,0.492962962962963,0.7433333333333333,0.5842592592592593,row_count_mismatch,18,9,3
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,3,0,0.5674583333333333,0.48819444444444443,0.71,0.5293055555555556,same_count_wrong_values,10,20,0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,4,0,0.5082547619047619,0.3902777777777778,0.6066666666666667,0.49196031746031743,row_count_mismatch,16,14,0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,5,0,0.43204166666666666,0.24253439153439152,0.595,0.11958333333333333,row_count_mismatch,22,8,0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,1,2,0.8026944444444445,0.5983333333333334,0.9009259259259259,0.7052777777777778,same_count_wrong_values,12,16,2
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,2,2,0.7006349206349206,0.5448192239858907,0.8063492063492064,0.5881481481481481,same_count_wrong_values,12,16,2
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,3,3,0.6185277777777778,0.51,0.7238888888888889,0.5452777777777778,row_count_mismatch,16,11,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,4,0,0.5101111111111111,0.2835687830687831,0.6174603174603175,0.5284126984126984,row_count_mismatch,19,11,0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,5,0,0.5238472222222222,0.22501763668430336,0.7162962962962963,0.19208333333333333,row_count_mismatch,22,8,0
llama3-70b-sqlbench:latest,Llama 3 70B,1,3,0.8003425925925925,0.5978703703703704,0.8888888888888888,0.6925,row_count_mismatch,17,10,3
llama3-70b-sqlbench:latest,Llama 3 70B,2,0,0.6538030303030303,0.4111307519640853,0.7550505050505051,0.6394444444444445,row_count_mismatch,22,8,0
llama3-70b-sqlbench:latest,Llama 3 70B,3,0,0.6470833333333333,0.5073981481481481,0.74,0.6413888888888889,row_count_mismatch,18,12,0
llama3-70b-sqlbench:latest,Llama 3 70B,4,0,0.5043952380952381,0.27393518518518517,0.645,0.4574285714285714,row_count_mismatch,16,14,0
llama3-70b-sqlbench:latest,Llama 3 70B,5,0,0.5505111111111111,0.25499867724867725,0.7716666666666666,0.16633333333333333,row_count_mismatch,16,14,0
codellama-70b-sqlbench:latest,CodeLlama 70B,1,3,0.6266706349206349,0.5598941798941799,0.7446428571428572,0.44306878306878306,same_count_wrong_values,12,15,3
codellama-70b-sqlbench:latest,CodeLlama 70B,2,0,0.41505555555555557,0.3713853615520282,0.5605555555555556,0.21611111111111111,row_count_mismatch,22,8,0
codellama-70b-sqlbench:latest,CodeLlama 70B,3,0,0.5063194444444444,0.33305555555555555,0.6388888888888888,0.37180555555555556,row_count_mismatch,19,11,0
codellama-70b-sqlbench:latest,CodeLlama 70B,4,0,0.513568253968254,0.3507962962962963,0.6188888888888889,0.4848571428571429,row_count_mismatch,19,11,0
codellama-70b-sqlbench:latest,CodeLlama 70B,5,0,0.49322314814814816,0.2716596119929453,0.6811111111111111,0.12691666666666668,row_count_mismatch,16,14,0
command-r-plus-sqlbench:latest,Command R+,1,1,0.8303531746031746,0.6392328042328043,0.9301587301587302,0.7437698412698412,same_count_wrong_values,9,20,1
command-r-plus-sqlbench:latest,Command R+,2,0,0.5923888888888889,0.5491728395061729,0.6777777777777778,0.5216666666666667,row_count_mismatch,17,13,0
command-r-plus-sqlbench:latest,Command R+,3,0,0.5138205128205128,0.3930740740740741,0.6402564102564102,0.44222222222222224,row_count_mismatch,18,12,0
command-r-plus-sqlbench:latest,Command R+,4,0,0.5007928571428572,0.3346296296296296,0.6238888888888889,0.44542063492063494,row_count_mismatch,19,11,0
command-r-plus-sqlbench:latest,Command R+,5,0,0.5168680911680912,0.28025193325193326,0.7248290598290599,0.12511111111111112,same_count_wrong_values,11,19,0
dbrx-sqlbench:latest,DBRX,1,1,0.7350515873015873,0.48955687830687833,0.866984126984127,0.5668915343915344,row_count_mismatch,15,14,1
dbrx-sqlbench:latest,DBRX,2,0,0.4407042448292448,0.3388102541521659,0.5739339826839827,0.30425925925925923,row_count_mismatch,20,8,0
dbrx-sqlbench:latest,DBRX,3,0,0.5447638888888889,0.4123148148148148,0.7172222222222222,0.4190277777777778,same_count_wrong_values,4,23,0
dbrx-sqlbench:latest,DBRX,4,0,0.47296984126984126,0.2516111111111111,0.605,0.4674920634920635,same_count_wrong_values,14,16,0
