model,display_model,attempts,exact_attempts,exact_attempt_rate,queries_with_any_exact,stable_exact_queries,pass1_exact,pass2_exact,pass3_exact,pass4_exact,pass5_exact,pass1_mean_score,pass2_mean_score,pass3_mean_score,pass4_mean_score,pass5_mean_score,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,mean_sort_correctness,score_drop_pass1_to_pass5,exact_drop_pass1_to_pass5,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact,order_only,type_only,column_error
gemma4-31b-sqlbench:latest,Gemma 4 31B,150,37,0.24666666666666667,13,11,13,12,9,3,0,0.92525,0.9202222222222222,0.8665,0.6602,0.7158694444444444,0.8176083333333333,0.633529761904762,0.9209285714285714,0.7013425925925926,0.7637063492063492,0.20938055555555557,13,same_count_wrong_values,33,77,37,3,0,0
gemma4-26b-sqlbench:latest,Gemma 4 26B,150,18,0.12,6,6,9,6,3,0,0,0.8225,0.7889563492063493,0.5700912698412698,0.5587460317460318,0.6278980158730159,0.6736383333333333,0.4930777777777778,0.7874365079365079,0.5814320105820105,0.587452380952381,0.19460198412698415,9,same_count_wrong_values,61,65,18,6,0,0
qwen3.6-sqlbench:latest,Qwen3.6,150,12,0.08,4,4,6,6,0,0,0,0.8417777777777777,0.7308611111111111,0.662875,0.5413603174603174,0.572875,0.6699498412698413,0.5025066137566138,0.7820555555555555,0.5583698412698412,0.6170555555555556,0.2689027777777777,6,same_count_wrong_values,63,75,12,0,0,0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,150,11,0.07333333333333333,5,3,7,3,1,0,0,0.8395277777777778,0.7808333333333333,0.690875,0.49603492063492066,0.5893194444444444,0.6793180952380953,0.5091257936507937,0.7972222222222223,0.5643566137566137,0.617,0.25020833333333337,7,row_count_mismatch,71,68,11,0,0,0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,150,9,0.06,3,3,6,3,0,0,0,0.8454444444444444,0.6333888888888889,0.5674583333333333,0.5082547619047619,0.43204166666666666,0.597317619047619,0.45949761904761904,0.7192407407407407,0.4967068783068783,0.5034259259259259,0.4134027777777778,6,row_count_mismatch,74,67,9,0,0,0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,150,7,0.04666666666666667,3,1,2,2,3,0,0,0.8026944444444445,0.7006349206349206,0.6185277777777778,0.5101111111111111,0.5238472222222222,0.6311630952380952,0.43234779541446205,0.752984126984127,0.5118399470899471,0.5655952380952382,0.27884722222222225,2,row_count_mismatch,81,62,7,0,0,0
llama3-70b-sqlbench:latest,Llama 3 70B,150,3,0.02,1,1,3,0,0,0,0,0.8003425925925925,0.6538030303030303,0.6470833333333333,0.5043952380952381,0.5505111111111111,0.6312270610870611,0.40906662658329324,0.7601212121212121,0.5194190476190477,0.5367037037037037,0.2498314814814815,3,row_count_mismatch,89,58,3,0,0,0
codellama-70b-sqlbench:latest,CodeLlama 70B,150,3,0.02,1,1,3,0,0,0,0,0.6266706349206349,0.41505555555555557,0.5063194444444444,0.513568253968254,0.49322314814814816,0.5109674074074074,0.37735820105820106,0.6488174603174603,0.3285518518518519,0.49996560846560845,0.13344748677248675,3,row_count_mismatch,88,59,3,0,0,0
command-r-plus-sqlbench:latest,Command R+,150,1,0.006666666666666667,1,0,1,0,0,0,0,0.8303531746031746,0.5923888888888889,0.5138205128205128,0.5007928571428572,0.5168680911680912,0.590844704924705,0.4392722561389228,0.7193821733821734,0.45563809523809523,0.5323109483109483,0.3134850834350834,1,same_count_wrong_values,74,75,1,0,0,0
dbrx-sqlbench:latest,DBRX,150,1,0.006666666666666667,1,0,1,0,0,0,0,0.7350515873015873,0.4407042448292448,0.5447638888888889,0.47296984126984126,0.49412222222222224,0.537522356902357,0.33686072807911044,0.6959058441558441,0.3849674603174603,0.43039598364598364,0.24092936507936502,1,row_count_mismatch,75,69,1,0,0,5
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,150,0,0.0,0,0,0,0,0,0,0,0.44991666666666663,0.5981111111111111,0.6562222222222223,0.5478777777777778,0.6214694444444444,0.5747194444444444,0.44751084656084655,0.7011746031746031,0.46388492063492065,0.48483333333333334,-0.17155277777777778,0,row_count_mismatch,74,70,0,0,6,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,150,0,0.0,0,0,0,0,0,0,0,0.6756296296296297,0.5066349206349207,0.4324543650793651,0.5017857142857143,0.52085,0.5274709259259259,0.35474285714285714,0.6752248677248677,0.36498862433862433,0.46180952380952384,0.15477962962962966,0,row_count_mismatch,90,57,0,0,3,0
phi4-mini-sqlbench:latest,Phi-4 Mini,150,0,0.0,0,0,0,0,0,0,0,0.6941911375661376,0.529386585149743,0.41735714285714287,0.39754232804232803,0.4643231481481481,0.5005600683527,0.30724920212990386,0.6508117769170401,0.34116825396825395,0.4240185185185185,0.22986798941798947,0,row_count_mismatch,92,58,0,0,0,0
