case_id,query,pass,query_no,difficulty,language,primary_failure_family,attempts,exact_attempts,exact_attempt_rate,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,mean_sort_correctness,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact,order_only,type_only,column_error
pass1.query1,P1 Q1,1,1,easy,sql,inner_join_accuracy,39,3,0.07692307692307693,0.8121794871794872,0.7865384615384615,0.8059116809116809,0.8685897435897436,0.7432336182336182,row_count_mismatch,33,3,3,0,0,0
pass1.query2,P1 Q2,1,2,easy,sql,sorting_presentation,39,0,0,0.7173611111111111,0.3257834757834758,0.8319088319088319,0.8669871794871795,0.20655270655270655,row_count_mismatch,29,4,0,6,0,0
pass1.query3,P1 Q3,1,3,easy,sql,outer_join_coverage,39,21,0.5384615384615384,0.911965811965812,0.9418803418803419,0.9230769230769231,0.886039886039886,0.9230769230769231,exact,0,15,21,0,3,0
pass1.query4,P1 Q4,1,4,easy,sql,outer_join_coverage,39,6,0.15384615384615385,0.8794749694749695,0.8182234432234432,0.9255189255189256,0.7769230769230769,0.9181929181929182,same_count_wrong_values,14,19,6,0,0,0
pass1.query5,P1 Q5,1,5,easy,sql,snowflake_traversal,39,2,0.05128205128205128,0.6987179487179488,0.5781949531949532,0.6957671957671958,0.8168498168498168,0.5288970288970289,row_count_mismatch,31,6,2,0,0,0
pass1.query6,P1 Q6,1,6,easy,sql,aggregation_numeric,39,0,0,0.757051282051282,0.5576923076923077,0.9166666666666666,0.47435897435897434,0.782051282051282,same_count_wrong_values,12,27,0,0,0,0
pass1.query7,P1 Q7,1,7,easy,sql,aggregation_numeric,39,0,0,0.5017094017094017,0.10042735042735043,0.829059829059829,0.2222222222222222,0.10256410256410256,row_count_mismatch,20,19,0,0,0,0
pass1.query8,P1 Q8,1,8,easy,sql,aggregation_numeric,39,0,0,0.7418376068376069,0.4981481481481481,0.9431623931623931,0.31196581196581197,0.8833333333333333,same_count_wrong_values,7,32,0,0,0,0
pass1.query9,P1 Q9,1,9,easy,sql,decision_support,39,0,0,0.7948717948717948,0.5213675213675214,0.9743589743589743,0.37606837606837606,0.9743589743589743,same_count_wrong_values,4,35,0,0,0,0
pass1.query10,P1 Q10,1,10,easy,sql,join_key_integrity,39,19,0.48717948717948717,0.792022792022792,0.8896011396011396,0.792022792022792,0.792022792022792,0.792022792022792,exact,1,13,19,0,6,0
pass2.query1,P2 Q1,2,1,medium,sql,snowflake_traversal,39,0,0,0.7124949124949125,0.5926095509428843,0.6642246642246642,0.8931623931623932,0.5621693121693122,row_count_mismatch,33,6,0,0,0,0
pass2.query2,P2 Q2,2,2,medium,sql,outer_join_coverage,39,15,0.38461538461538464,0.8461538461538461,0.9273504273504274,0.8461538461538461,0.8461538461538461,0.8461538461538461,same_count_wrong_values,0,24,15,0,0,0
pass2.query3,P2 Q3,2,3,medium,sql,outer_join_coverage,39,9,0.23076923076923078,0.7258634421134421,0.5700630456145163,0.7828379953379954,0.7461538461538462,0.552991452991453,row_count_mismatch,21,8,9,0,0,1
pass2.query4,P2 Q4,2,4,medium,sql,aggregation_numeric,39,0,0,0.5529081883029251,0.4418716152268784,0.6596841754736491,0.4935897435897436,0.3749458874458874,row_count_mismatch,28,10,0,0,0,1
pass2.query5,P2 Q5,2,5,medium,sql,aggregation_numeric,39,0,0,0.48935897435897435,0.0594017094017094,0.7705128205128206,0.29059829059829057,0.08461538461538462,row_count_mismatch,26,13,0,0,0,0
pass2.query6,P2 Q6,2,6,medium,sql,snowflake_traversal,39,5,0.1282051282051282,0.5803418803418803,0.3831908831908832,0.6495726495726496,0.5384615384615384,0.4700854700854701,row_count_mismatch,29,5,5,0,0,0
pass2.query7,P2 Q7,2,7,medium,sql,outer_join_coverage,39,0,0,0.7141025641025641,0.6192307692307693,0.9538461538461539,0.4794871794871795,0.4666666666666667,same_count_wrong_values,7,29,0,3,0,0
pass2.query8,P2 Q8,2,8,medium,sql,aggregation_numeric,39,0,0,0.5595726495726495,0.41271367521367525,0.6965811965811965,0.3732193732193732,0.4965811965811966,row_count_mismatch,20,19,0,0,0,0
