model,display_model,pass,exact_attempts,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact
gemma4-31b-sqlbench:latest,Gemma 4 31B,1,13,0.92525,0.7890972222222222,0.9958333333333333,exact,1,13,13
gemma4-31b-sqlbench:latest,Gemma 4 31B,2,12,0.9202222222222222,0.7911111111111111,0.9833333333333334,same_count_wrong_values,3,15,12
gemma4-31b-sqlbench:latest,Gemma 4 31B,3,9,0.8665,0.7008333333333333,0.955,same_count_wrong_values,6,15,9
gemma4-26b-sqlbench:latest,Gemma 4 26B,1,9,0.8225,0.6455555555555555,0.9069444444444444,row_count_mismatch,12,6,9
gemma4-26b-sqlbench:latest,Gemma 4 26B,2,6,0.7889563492063493,0.5814656084656085,0.8628968253968254,row_count_mismatch,11,10,6
gemma4-26b-sqlbench:latest,Gemma 4 26B,3,3,0.5700912698412698,0.5230952380952381,0.6295238095238095,same_count_wrong_values,13,14,3
qwen3.6-sqlbench:latest,Qwen3.6,1,6,0.8417777777777777,0.6277777777777778,0.9555555555555555,same_count_wrong_values,9,15,6
qwen3.6-sqlbench:latest,Qwen3.6,2,6,0.7308611111111111,0.6019907407407408,0.8108333333333333,row_count_mismatch,15,9,6
qwen3.6-sqlbench:latest,Qwen3.6,3,0,0.662875,0.6405555555555555,0.74,same_count_wrong_values,9,21,0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,1,7,0.8395277777777778,0.6934027777777778,0.9166666666666666,same_count_wrong_values,11,12,7
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,2,3,0.7808333333333333,0.6213888888888889,0.8677777777777778,same_count_wrong_values,10,17,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,3,1,0.690875,0.6271296296296296,0.7661111111111111,same_count_wrong_values,11,18,1
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,1,6,0.8454444444444444,0.6835185185185185,0.9412037037037037,same_count_wrong_values,8,16,6
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,2,3,0.6333888888888889,0.492962962962963,0.7433333333333333,row_count_mismatch,18,9,3
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,3,0,0.5674583333333333,0.48819444444444443,0.71,same_count_wrong_values,10,20,0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,1,2,0.8026944444444445,0.5983333333333334,0.9009259259259259,same_count_wrong_values,12,16,2
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,2,2,0.7006349206349206,0.5448192239858907,0.8063492063492064,same_count_wrong_values,12,16,2
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,3,3,0.6185277777777778,0.51,0.7238888888888889,row_count_mismatch,16,11,3
llama3-70b-sqlbench:latest,Llama 3 70B,1,3,0.8003425925925925,0.5978703703703704,0.8888888888888888,row_count_mismatch,17,10,3
llama3-70b-sqlbench:latest,Llama 3 70B,2,0,0.6538030303030303,0.4111307519640853,0.7550505050505051,row_count_mismatch,22,8,0
llama3-70b-sqlbench:latest,Llama 3 70B,3,0,0.6470833333333333,0.5073981481481481,0.74,row_count_mismatch,18,12,0
