model,display_model,attempts,exact_attempts,exact_attempt_rate,queries_with_any_exact,stable_exact_queries,pass1_exact,pass2_exact,pass3_exact,pass1_mean_score,pass2_mean_score,pass3_mean_score,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,score_drop_pass1_to_pass3,exact_drop_pass1_to_pass3,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact,order_only,type_only,column_error
gemma4-31b-sqlbench:latest,Gemma 4 31B,90,34,0.37777777777777777,12,10,13,12,9,0.92525,0.9202222222222222,0.8665,0.9039907407407407,0.7603472222222222,0.9780555555555556,0.8270987654320988,0.05874999999999997,4,same_count_wrong_values,10,43,34,3,0,0
gemma4-26b-sqlbench:latest,Gemma 4 26B,90,18,0.2,6,6,9,6,3,0.8225,0.7889563492063493,0.5700912698412698,0.7271825396825397,0.5833721340388007,0.7997883597883598,0.6999382716049383,0.2524087301587302,6,row_count_mismatch,36,30,18,6,0,0
qwen3.6-sqlbench:latest,Qwen3.6,90,12,0.13333333333333333,4,4,6,6,0,0.8417777777777777,0.7308611111111111,0.662875,0.7451712962962963,0.6234413580246914,0.835462962962963,0.6652314814814815,0.17890277777777774,6,same_count_wrong_values,33,45,12,0,0,0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,90,11,0.12222222222222222,5,3,7,3,1,0.8395277777777778,0.7808333333333333,0.690875,0.770412037037037,0.6473070987654321,0.8501851851851852,0.7145216049382715,0.14865277777777774,6,same_count_wrong_values,32,47,11,0,0,0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,90,9,0.1,3,3,6,3,0,0.8454444444444444,0.6333888888888889,0.5674583333333333,0.6820972222222222,0.554891975308642,0.798179012345679,0.6239969135802469,0.27798611111111116,6,same_count_wrong_values,36,45,9,0,0,0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,90,7,0.07777777777777778,3,1,2,2,3,0.8026944444444445,0.7006349206349206,0.6185277777777778,0.7072857142857143,0.5510508524397413,0.8103880070546737,0.6129012345679012,0.1841666666666667,-1,same_count_wrong_values,40,43,7,0,0,0
llama3-70b-sqlbench:latest,Llama 3 70B,90,3,0.03333333333333333,1,1,3,0,0,0.8003425925925925,0.6538030303030303,0.6470833333333333,0.7004096520763188,0.5054664234942012,0.7946464646464646,0.6577777777777778,0.1532592592592592,3,row_count_mismatch,57,30,3,0,0,0
codellama-70b-sqlbench:latest,CodeLlama 70B,90,3,0.03333333333333333,1,1,3,0,0,0.6266706349206349,0.41505555555555557,0.5063194444444444,0.5160152116402117,0.4214450323339212,0.6480291005291006,0.34366181657848327,0.12035119047619047,3,row_count_mismatch,53,34,3,0,0,0
command-r-plus-sqlbench:latest,Command R+,90,1,0.011111111111111112,1,0,1,0,0,0.8303531746031746,0.5923888888888889,0.5138205128205128,0.6455208587708587,0.5271599059376837,0.7493976393976394,0.5692195767195767,0.3165326617826618,1,same_count_wrong_values,44,45,1,0,0,0
dbrx-sqlbench:latest,DBRX,90,1,0.011111111111111112,1,0,1,0,0,0.7350515873015873,0.4407042448292448,0.5447638888888889,0.5735065736732403,0.41356064909128637,0.7193801106301106,0.43005952380952384,0.19028769841269833,1,same_count_wrong_values,39,45,1,0,0,5
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,90,0,0.0,0,0,0,0,0,0.44991666666666663,0.5981111111111111,0.6562222222222223,0.5680833333333333,0.5451296296296296,0.6701851851851852,0.4987962962962963,-0.20630555555555563,0,row_count_mismatch,44,40,0,0,6,0
phi4-mini-sqlbench:latest,Phi-4 Mini,90,0,0.0,0,0,0,0,0,0.6941911375661376,0.529386585149743,0.41735714285714287,0.5469782885243412,0.3511615156015741,0.6830901749322802,0.4374316578483245,0.2768339947089947,0,row_count_mismatch,59,31,0,0,0,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,90,0,0.0,0,0,0,0,0,0.6756296296296297,0.5066349206349207,0.4324543650793651,0.5382396384479717,0.39693562610229277,0.6657451499118165,0.4200154320987654,0.2431752645502646,0,row_count_mismatch,53,34,0,0,3,0
