case_id,query,short_name,prompt,primary_failure_family,exact_attempts,exact_attempt_rate,exact_models_any,exact_models_stable,mean_score,mean_aligned_cell_accuracy,row_count_mismatch_attempts,same_count_wrong_attempts,order_only_attempts,type_only_attempts,dominant_failure_mode
pass1.query1,Q1,Sample inner join,"Inner join fact_calls to sample_dim on sample_id.
Return: call_id, sample_id, tissue, condition, genotype
Sort by call_id ascending.",inner_join_accuracy,3,0.07692307692307693,1,1,0.8121794871794872,0.7865384615384615,33,3,0,0,row_count_mismatch
pass1.query2,Q2,Variant join + qual sort,"Inner join fact_calls to variant_dim on variant_id.
Return: call_id, variant_id, variant_class, impact, qual
Sort by qual descending, then call_id ascending.",sorting_presentation,0,0.0,0,0,0.7173611111111111,0.3257834757834758,29,10,6,0,row_count_mismatch
pass1.query3,Q3,Sample left join,"Left join fact_calls to sample_dim on sample_id.
Return: call_id, sample_id, tissue, batch, expr_ndhb
Keep all fact rows.
Sort by call_id ascending.",outer_join_coverage,21,0.5384615384615384,8,6,0.911965811965812,0.9418803418803419,0,18,0,3,exact
pass1.query4,Q4,Outer join aggregate,"Use a RIGHT JOIN from fact_calls to sample_dim, or an equivalent reversed LEFT JOIN.
Return one row per sample with:
sample_id, tissue, call_count, avg_qual
Include samples with zero calls.
Sort by sample_id ascending.
Round avg_qual to 3 decimals.",outer_join_coverage,6,0.15384615384615385,3,1,0.8794749694749695,0.8182234432234432,14,19,0,0,same_count_wrong_values
pass1.query5,Q5,Variant to gene chain,"Inner join fact_calls to variant_dim, then to gene_dim.
Return: call_id, variant_id, gene_symbol, pathway
Sort by call_id ascending.",snowflake_traversal,2,0.05128205128205128,1,0,0.6987179487179488,0.5781949531949532,31,6,0,0,row_count_mismatch
pass1.query6,Q6,Impact aggregate,"Inner join fact_calls to variant_dim.
Count calls by impact and also compute average qual.
Return: impact, call_count, avg_qual
Sort by call_count descending, then impact ascending.
Round avg_qual to 3 decimals.",aggregation_numeric,0,0.0,0,0,0.757051282051282,0.5576923076923077,12,27,0,0,same_count_wrong_values
pass1.query7,Q7,Tissue qual aggregate,"Inner join fact_calls to sample_dim.
Compute average, minimum, and maximum qual by tissue.
Return: tissue, avg_qual, min_qual, max_qual
Sort by avg_qual descending.
Round avg_qual to 3 decimals.",aggregation_numeric,0,0.0,0,0,0.5017094017094017,0.10042735042735043,20,19,0,0,row_count_mismatch
pass1.query8,Q8,Condition expression aggregate,"Inner join fact_calls to sample_dim.
For each condition, compute:
- call_count
- avg_expr_pgr5
Return: condition, call_count, avg_expr_pgr5
Sort by condition ascending.
Round avg_expr_pgr5 to 3 decimals.",aggregation_numeric,0,0.0,0,0,0.7418376068376069,0.4981481481481481,7,32,0,0,same_count_wrong_values
pass1.query9,Q9,Condition decision screen,"Decision screen for sample quality.
Inner join fact_calls to sample_dim and variant_dim.
For each condition, compute:
- total_calls
- avg_qual
- high_impact_calls where impact = 'high'
Return: condition, total_calls, avg_qual, high_impact_calls
Sort by condition ascending.
Round avg_qual to 3 decimals.",decision_support,0,0.0,0,0,0.7948717948717948,0.5213675213675214,4,35,0,0,same_count_wrong_values
pass1.query10,Q10,Variant anomaly audit,"Simple anomaly audit.
Left join fact_calls to variant_dim on variant_id.
Return: call_id, variant_id, impact, variant_match_status
Set variant_match_status to MATCHED when variant_dim matched, else MISSING_VARIANT.
Keep all fact rows.
Sort by call_id ascending.",join_key_integrity,19,0.48717948717948717,7,6,0.792022792022792,0.8896011396011396,1,19,0,6,exact
