model,display_model,group,group_reason,structural_score,analytical_score,sorting_score,exact_attempts,stable_exact_queries,partial_exact_queries,stable_fail_queries,mean_score
gemma4-31b-sqlbench:latest,Gemma 4 31B,Broad pass leader,Only model family with exact coverage spanning half of the suite and strong partial credit on the remaining aggregation tasks.,0.9888333333333333,0.8395833333333333,0.9500000000000001,13,3,2,5,0.92525
gemma4-26b-sqlbench:latest,Gemma 4 26B,Strong but narrow exactness,"Reliable exactness on a few structural tasks, then near-exact rather than exact on the harder aggregation screens.",0.935,0.675,0.8500000000000001,9,3,0,7,0.8225
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,Strong but narrow exactness,"Reliable exactness on a few structural tasks, then near-exact rather than exact on the harder aggregation screens.",0.9435,0.7694444444444445,0.6,7,2,1,7,0.8395277777777778
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,Strong but narrow exactness,"Reliable exactness on a few structural tasks, then near-exact rather than exact on the harder aggregation screens.",0.9303333333333333,0.8006944444444445,0.6,6,2,0,8,0.8454444444444444
qwen3.6-sqlbench:latest,Qwen3.6,Strong but narrow exactness,"Reliable exactness on a few structural tasks, then near-exact rather than exact on the harder aggregation screens.",0.928,0.7416666666666667,0.8111111111111111,6,2,0,8,0.8417777777777777
llama3-70b-sqlbench:latest,Llama 3 70B,Near-miss operators,"Often one join/filter/count fix away from correctness, but exact-match brittleness kept them from converting those near misses.",0.888,0.684375,0.825925925925926,3,1,0,9,0.8003425925925925
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,Near-miss operators,"Often one join/filter/count fix away from correctness, but exact-match brittleness kept them from converting those near misses.",0.899,0.7038194444444444,0.7166666666666667,2,0,1,9,0.8026944444444445
command-r-plus-sqlbench:latest,Command R+,Near-miss operators,"Often one join/filter/count fix away from correctness, but exact-match brittleness kept them from converting those near misses.",0.9454285714285714,0.696875,0.7888888888888889,1,0,1,9,0.8303531746031746
codellama-70b-sqlbench:latest,CodeLlama 70B,Brittle / low-coverage,"Low exact coverage plus repeated row-count, type, or schema-level mistakes kept performance unstable.",0.6252857142857142,0.6788194444444444,0.42500000000000004,3,1,0,9,0.6266706349206349
dbrx-sqlbench:latest,DBRX,Brittle / low-coverage,"Low exact coverage plus repeated row-count, type, or schema-level mistakes kept performance unstable.",0.8532698412698413,0.5738194444444444,0.7888888888888889,1,0,1,9,0.7350515873015873
phi4-mini-sqlbench:latest,Phi-4 Mini,Brittle / low-coverage,"Low exact coverage plus repeated row-count, type, or schema-level mistakes kept performance unstable.",0.816021164021164,0.5607638888888888,0.61875,0,0,0,10,0.6941911375661376
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,Brittle / low-coverage,"Low exact coverage plus repeated row-count, type, or schema-level mistakes kept performance unstable.",0.6986666666666667,0.634375,0.725462962962963,0,0,0,10,0.6756296296296297
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,Brittle / low-coverage,"Low exact coverage plus repeated row-count, type, or schema-level mistakes kept performance unstable.",0.194,0.7260416666666667,0.625,0,0,0,10,0.44991666666666663
