model,display_model,attempts,exact_attempts,exact_attempt_rate,exact_query_coverage_any,stable_exact_queries,partial_exact_queries,stable_fail_queries,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,mean_sort_correctness,row_count_mismatch_rate,mean_wall_s,mean_gen_tps,exact,order_only,type_only,same_count_wrong_values,row_count_mismatch,dominant_failure_mode
gemma4-31b-sqlbench:latest,Gemma 4 31B,30,13,0.43333333333333335,5,3,2,5,0.92525,0.7890972222222222,0.9958333333333333,0.8494444444444444,0.8625,0.03333333333333333,53.23454356996711,2.7548048531041784,13,3,0,13,1,exact
gemma4-26b-sqlbench:latest,Gemma 4 26B,30,9,0.3,3,3,0,7,0.8225,0.6455555555555555,0.9069444444444444,0.7347222222222223,0.7430555555555556,0.4,11.251608584796971,11.879841306679749,9,3,0,6,12,row_count_mismatch
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,30,7,0.23333333333333334,3,2,1,7,0.8395277777777778,0.6934027777777778,0.9166666666666666,0.7262037037037037,0.8166666666666667,0.36666666666666664,92.20919376303597,1.6659584297336216,7,0,0,12,11,same_count_wrong_values
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,30,6,0.2,2,2,0,8,0.8454444444444444,0.6835185185185185,0.9412037037037037,0.758425925925926,0.736574074074074,0.26666666666666666,46.65207974779672,3.147066656923042,6,0,0,16,8,same_count_wrong_values
qwen3.6-sqlbench:latest,Qwen3.6,30,6,0.2,2,2,0,8,0.8417777777777777,0.6277777777777778,0.9555555555555555,0.7022222222222222,0.7666666666666667,0.3,37.985327553201934,7.2435579563997115,6,0,0,15,9,same_count_wrong_values
llama3-70b-sqlbench:latest,Llama 3 70B,30,3,0.1,1,1,0,9,0.8003425925925925,0.5978703703703704,0.8888888888888888,0.6925,0.7407407407407407,0.5666666666666667,77.06902441776765,1.9411414666385358,3,0,0,10,17,row_count_mismatch
codellama-70b-sqlbench:latest,CodeLlama 70B,30,3,0.1,1,1,0,9,0.6266706349206349,0.5598941798941799,0.7446428571428572,0.44306878306878306,0.6071428571428571,0.4,69.53258462756251,1.9273785284157863,3,0,0,15,12,same_count_wrong_values
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,30,2,0.06666666666666667,1,0,1,9,0.8026944444444445,0.5983333333333334,0.9009259259259259,0.7052777777777778,0.7032407407407407,0.4,69.0095483645981,2.605768540333345,2,0,0,16,12,same_count_wrong_values
command-r-plus-sqlbench:latest,Command R+,30,1,0.03333333333333333,1,0,1,9,0.8303531746031746,0.6392328042328043,0.9301587301587302,0.7437698412698412,0.7107142857142857,0.3,218.02148121416297,0.8050386737468145,1,0,0,20,9,same_count_wrong_values
dbrx-sqlbench:latest,DBRX,30,1,0.03333333333333333,1,0,1,9,0.7350515873015873,0.48955687830687833,0.866984126984127,0.5668915343915344,0.6574603174603174,0.5,60.980152524963096,2.879212148297574,1,0,0,14,15,row_count_mismatch
phi4-mini-sqlbench:latest,Phi-4 Mini,30,0,0.0,0,0,0,10,0.6941911375661376,0.4180489417989418,0.8341269841269842,0.5465542328042328,0.5658068783068783,0.6333333333333333,4.7584976964668995,85.17242124339774,0,0,0,11,19,row_count_mismatch
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,30,0,0.0,0,0,0,10,0.6756296296296297,0.49398148148148147,0.8050925925925926,0.5186111111111111,0.5875,0.4666666666666667,66.88270518733479,2.7657628052931607,0,0,3,13,14,row_count_mismatch
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,30,0,0.0,0,0,0,10,0.44991666666666663,0.5869444444444445,0.5416666666666666,0.3219444444444444,0.4125,0.4,14.46132712449568,11.734512206852758,0,0,6,12,12,row_count_mismatch
