model,display_model,case_id,query,short_name,exact_attempts,exact_rate,mean_score,mean_aligned_cell_accuracy,dominant_failure_mode,stable_outcome
codellama-70b-sqlbench:latest,CodeLlama 70B,pass2.query1,Q1,Four-table inner join,0,0.0,0.27777777777777785,0.6216931216931216,row_count_mismatch,stable_fail
codellama-70b-sqlbench:latest,CodeLlama 70B,pass2.query2,Q2,Full snowflake left join,0,0.0,0.0,0.808641975308642,same_count_wrong_values,stable_fail
codellama-70b-sqlbench:latest,CodeLlama 70B,pass2.query3,Q3,Variant full outer join,0,0.0,0.5433333333333333,0.3,same_count_wrong_values,stable_fail
codellama-70b-sqlbench:latest,CodeLlama 70B,pass2.query4,Q4,Condition-impact aggregate,0,0.0,0.2888888888888889,0.09722222222222222,row_count_mismatch,stable_fail
codellama-70b-sqlbench:latest,CodeLlama 70B,pass2.query5,Q5,Gene VAF aggregate,0,0.0,0.3333333333333333,0.0,row_count_mismatch,stable_fail
codellama-70b-sqlbench:latest,CodeLlama 70B,pass2.query6,Q6,Tissue complete-chain aggregate,0,0.0,0.6749999999999999,0.4074074074074074,same_count_wrong_values,stable_fail
codellama-70b-sqlbench:latest,CodeLlama 70B,pass2.query7,Q7,Sample high-impact screen,0,0.0,0.5900000000000001,0.35,row_count_mismatch,stable_fail
codellama-70b-sqlbench:latest,CodeLlama 70B,pass2.query8,Q8,Gene read-quality aggregate,0,0.0,0.3888888888888889,0.1388888888888889,row_count_mismatch,stable_fail
codellama-70b-sqlbench:latest,CodeLlama 70B,pass2.query9,Q9,Pathway decision summary,0,0.0,0.3333333333333333,0.35,row_count_mismatch,stable_fail
codellama-70b-sqlbench:latest,CodeLlama 70B,pass2.query10,Q10,Sample coverage screen,0,0.0,0.7200000000000001,0.64,row_count_mismatch,stable_fail
command-r-plus-sqlbench:latest,Command R+,pass2.query1,Q1,Four-table inner join,0,0.0,0.7444444444444445,0.5185185185185185,row_count_mismatch,stable_fail
command-r-plus-sqlbench:latest,Command R+,pass2.query2,Q2,Full snowflake left join,0,0.0,1.0,0.9320987654320988,same_count_wrong_values,stable_fail
command-r-plus-sqlbench:latest,Command R+,pass2.query3,Q3,Variant full outer join,0,0.0,0.9,0.9,row_count_mismatch,stable_fail
command-r-plus-sqlbench:latest,Command R+,pass2.query4,Q4,Condition-impact aggregate,0,0.0,0.3777777777777777,0.4722222222222222,row_count_mismatch,stable_fail
command-r-plus-sqlbench:latest,Command R+,pass2.query5,Q5,Gene VAF aggregate,0,0.0,0.36666666666666664,0.0,same_count_wrong_values,stable_fail
command-r-plus-sqlbench:latest,Command R+,pass2.query6,Q6,Tissue complete-chain aggregate,0,0.0,0.625,0.2222222222222222,row_count_mismatch,stable_fail
command-r-plus-sqlbench:latest,Command R+,pass2.query7,Q7,Sample high-impact screen,0,0.0,0.77,0.8,same_count_wrong_values,stable_fail
command-r-plus-sqlbench:latest,Command R+,pass2.query8,Q8,Gene read-quality aggregate,0,0.0,0.0,0.5833333333333334,same_count_wrong_values,stable_fail
command-r-plus-sqlbench:latest,Command R+,pass2.query9,Q9,Pathway decision summary,0,0.0,0.36666666666666664,0.45,row_count_mismatch,stable_fail
command-r-plus-sqlbench:latest,Command R+,pass2.query10,Q10,Sample coverage screen,0,0.0,0.7733333333333334,0.6133333333333334,same_count_wrong_values,stable_fail
dbrx-sqlbench:latest,DBRX,pass2.query1,Q1,Four-table inner join,0,0.0,0.5809523809523809,0.4603174603174603,same_count_wrong_values,stable_fail
dbrx-sqlbench:latest,DBRX,pass2.query2,Q2,Full snowflake left join,0,0.0,1.0,0.9629629629629629,same_count_wrong_values,stable_fail
dbrx-sqlbench:latest,DBRX,pass2.query3,Q3,Variant full outer join,0,0.0,0.052083333333333336,0.06587009803921569,row_count_mismatch,stable_fail
dbrx-sqlbench:latest,DBRX,pass2.query4,Q4,Condition-impact aggregate,0,0.0,0.26363636363636367,0.10700757575757576,row_count_mismatch,stable_fail
dbrx-sqlbench:latest,DBRX,pass2.query5,Q5,Gene VAF aggregate,0,0.0,0.475,0.16666666666666666,row_count_mismatch,stable_fail
dbrx-sqlbench:latest,DBRX,pass2.query6,Q6,Tissue complete-chain aggregate,0,0.0,0.475,0.2222222222222222,row_count_mismatch,stable_fail
dbrx-sqlbench:latest,DBRX,pass2.query7,Q7,Sample high-impact screen,0,0.0,0.63,0.5,same_count_wrong_values,stable_fail
dbrx-sqlbench:latest,DBRX,pass2.query8,Q8,Gene read-quality aggregate,0,0.0,0.0,0.1875,row_count_mismatch,stable_fail
dbrx-sqlbench:latest,DBRX,pass2.query9,Q9,Pathway decision summary,0,0.0,0.25037037037037035,0.15555555555555556,row_count_mismatch,stable_fail
dbrx-sqlbench:latest,DBRX,pass2.query10,Q10,Sample coverage screen,0,0.0,0.68,0.56,row_count_mismatch,stable_fail
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass2.query1,Q1,Four-table inner join,0,0.0,0.7444444444444445,0.4444444444444444,row_count_mismatch,stable_fail
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass2.query2,Q2,Full snowflake left join,0,0.0,1.0,0.8888888888888888,same_count_wrong_values,stable_fail
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass2.query3,Q3,Variant full outer join,0,0.0,0.5388888888888889,0.12222222222222222,row_count_mismatch,stable_fail
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass2.query4,Q4,Condition-impact aggregate,0,0.0,0.3507936507936508,0.373015873015873,row_count_mismatch,stable_fail
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass2.query5,Q5,Gene VAF aggregate,0,0.0,0.44999999999999996,0.05555555555555555,row_count_mismatch,stable_fail
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass2.query6,Q6,Tissue complete-chain aggregate,0,0.0,0.0,0.1111111111111111,row_count_mismatch,stable_fail
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass2.query7,Q7,Sample high-impact screen,0,0.0,0.4700000000000001,0.35,same_count_wrong_values,stable_fail
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass2.query8,Q8,Gene read-quality aggregate,0,0.0,0.39666666666666667,0.1,row_count_mismatch,stable_fail
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass2.query9,Q9,Pathway decision summary,0,0.0,0.3555555555555555,0.4166666666666667,row_count_mismatch,stable_fail
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass2.query10,Q10,Sample coverage screen,0,0.0,0.76,0.72,row_count_mismatch,stable_fail
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass2.query1,Q1,Four-table inner join,0,0.0,0.8333333333333335,0.8611111111111112,same_count_wrong_values,stable_fail
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass2.query2,Q2,Full snowflake left join,3,1.0,1.0,1.0,exact,stable_exact
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass2.query3,Q3,Variant full outer join,3,1.0,1.0,1.0,exact,stable_exact
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass2.query4,Q4,Condition-impact aggregate,0,0.0,0.7357142857142858,0.25,row_count_mismatch,stable_fail
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass2.query5,Q5,Gene VAF aggregate,0,0.0,0.525,0.0,row_count_mismatch,stable_fail
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass2.query6,Q6,Tissue complete-chain aggregate,0,0.0,0.725,0.42592592592592593,row_count_mismatch,stable_fail
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass2.query7,Q7,Sample high-impact screen,0,0.0,0.92,0.7,order_only,stable_fail
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass2.query8,Q8,Gene read-quality aggregate,0,0.0,0.8999999999999999,0.75,same_count_wrong_values,stable_fail
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass2.query9,Q9,Pathway decision summary,0,0.0,0.410515873015873,0.14761904761904762,row_count_mismatch,stable_fail
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass2.query10,Q10,Sample coverage screen,0,0.0,0.8400000000000001,0.68,same_count_wrong_values,stable_fail
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass2.query1,Q1,Four-table inner join,0,0.0,0.8333333333333335,0.8333333333333334,row_count_mismatch,stable_fail
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass2.query2,Q2,Full snowflake left join,3,1.0,1.0,1.0,exact,stable_exact
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass2.query3,Q3,Variant full outer join,3,1.0,1.0,1.0,exact,stable_exact
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass2.query4,Q4,Condition-impact aggregate,0,0.0,0.95,0.9166666666666666,same_count_wrong_values,stable_fail
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass2.query5,Q5,Gene VAF aggregate,0,0.0,0.8166666666666667,0.3333333333333333,same_count_wrong_values,stable_fail
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass2.query6,Q6,Tissue complete-chain aggregate,3,1.0,1.0,1.0,exact,stable_exact
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass2.query7,Q7,Sample high-impact screen,0,0.0,0.8799999999999999,0.8,same_count_wrong_values,stable_fail
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass2.query8,Q8,Gene read-quality aggregate,0,0.0,0.8333333333333333,0.25,same_count_wrong_values,stable_fail
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass2.query9,Q9,Pathway decision summary,0,0.0,0.8888888888888888,0.7777777777777778,same_count_wrong_values,stable_fail
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass2.query10,Q10,Sample coverage screen,3,1.0,1.0,1.0,exact,stable_exact
llama3-70b-sqlbench:latest,Llama 3 70B,pass2.query1,Q1,Four-table inner join,0,0.0,0.7444444444444445,0.5123456790123457,row_count_mismatch,stable_fail
llama3-70b-sqlbench:latest,Llama 3 70B,pass2.query2,Q2,Full snowflake left join,0,0.0,1.0,0.9567901234567902,same_count_wrong_values,stable_fail
llama3-70b-sqlbench:latest,Llama 3 70B,pass2.query3,Q3,Variant full outer join,0,0.0,0.6085858585858586,0.06439393939393939,row_count_mismatch,stable_fail
llama3-70b-sqlbench:latest,Llama 3 70B,pass2.query4,Q4,Condition-impact aggregate,0,0.0,0.625,0.5277777777777778,row_count_mismatch,stable_fail
llama3-70b-sqlbench:latest,Llama 3 70B,pass2.query5,Q5,Gene VAF aggregate,0,0.0,0.5166666666666666,0.0,row_count_mismatch,stable_fail
llama3-70b-sqlbench:latest,Llama 3 70B,pass2.query6,Q6,Tissue complete-chain aggregate,0,0.0,0.5499999999999999,0.3333333333333333,row_count_mismatch,stable_fail
llama3-70b-sqlbench:latest,Llama 3 70B,pass2.query7,Q7,Sample high-impact screen,0,0.0,0.7,0.55,same_count_wrong_values,stable_fail
llama3-70b-sqlbench:latest,Llama 3 70B,pass2.query8,Q8,Gene read-quality aggregate,0,0.0,0.6533333333333333,0.5,row_count_mismatch,stable_fail
llama3-70b-sqlbench:latest,Llama 3 70B,pass2.query9,Q9,Pathway decision summary,0,0.0,0.41666666666666663,0.1,row_count_mismatch,stable_fail
llama3-70b-sqlbench:latest,Llama 3 70B,pass2.query10,Q10,Sample coverage screen,0,0.0,0.7233333333333334,0.5666666666666667,row_count_mismatch,stable_fail
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass2.query1,Q1,Four-table inner join,0,0.0,0.7444444444444445,0.5740740740740741,row_count_mismatch,stable_fail
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass2.query2,Q2,Full snowflake left join,0,0.0,1.0,0.9197530864197531,same_count_wrong_values,stable_fail
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass2.query3,Q3,Variant full outer join,0,0.0,0.77,0.8,same_count_wrong_values,stable_fail
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass2.query4,Q4,Condition-impact aggregate,0,0.0,0.6438888888888888,0.5166666666666667,row_count_mismatch,stable_fail
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass2.query5,Q5,Gene VAF aggregate,0,0.0,0.4666666666666666,0.0,row_count_mismatch,stable_fail
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass2.query6,Q6,Tissue complete-chain aggregate,2,0.6666666666666666,0.975,0.9444444444444444,exact,partial_exact
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass2.query7,Q7,Sample high-impact screen,0,0.0,0.7766666666666666,0.6666666666666666,same_count_wrong_values,stable_fail
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass2.query8,Q8,Gene read-quality aggregate,0,0.0,0.5277777777777778,0.2361111111111111,row_count_mismatch,stable_fail
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass2.query9,Q9,Pathway decision summary,0,0.0,0.30857142857142855,0.15047619047619049,row_count_mismatch,stable_fail
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass2.query10,Q10,Sample coverage screen,0,0.0,0.7933333333333334,0.64,same_count_wrong_values,stable_fail
phi4-mini-sqlbench:latest,Phi-4 Mini,pass2.query1,Q1,Four-table inner join,0,0.0,0.7814814814814816,0.5817901234567902,row_count_mismatch,stable_fail
phi4-mini-sqlbench:latest,Phi-4 Mini,pass2.query2,Q2,Full snowflake left join,0,0.0,1.0,0.7901234567901234,same_count_wrong_values,stable_fail
phi4-mini-sqlbench:latest,Phi-4 Mini,pass2.query3,Q3,Variant full outer join,0,0.0,0.38333333333333336,0.041666666666666664,row_count_mismatch,stable_fail
phi4-mini-sqlbench:latest,Phi-4 Mini,pass2.query4,Q4,Condition-impact aggregate,0,0.0,0.2507177033492823,0.08791866028708134,row_count_mismatch,stable_fail
phi4-mini-sqlbench:latest,Phi-4 Mini,pass2.query5,Q5,Gene VAF aggregate,0,0.0,0.38666666666666666,0.16111111111111112,row_count_mismatch,stable_fail
phi4-mini-sqlbench:latest,Phi-4 Mini,pass2.query6,Q6,Tissue complete-chain aggregate,0,0.0,0.5694444444444444,0.3148148148148148,row_count_mismatch,stable_fail
phi4-mini-sqlbench:latest,Phi-4 Mini,pass2.query7,Q7,Sample high-impact screen,0,0.0,0.71,0.7,same_count_wrong_values,stable_fail
phi4-mini-sqlbench:latest,Phi-4 Mini,pass2.query8,Q8,Gene read-quality aggregate,0,0.0,0.3333333333333333,0.08333333333333333,row_count_mismatch,stable_fail
phi4-mini-sqlbench:latest,Phi-4 Mini,pass2.query9,Q9,Pathway decision summary,0,0.0,0.18888888888888888,0.1295238095238095,row_count_mismatch,stable_fail
phi4-mini-sqlbench:latest,Phi-4 Mini,pass2.query10,Q10,Sample coverage screen,0,0.0,0.6900000000000001,0.5111111111111111,row_count_mismatch,stable_fail
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass2.query1,Q1,Four-table inner join,0,0.0,0.7444444444444445,0.5555555555555556,row_count_mismatch,stable_fail
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass2.query2,Q2,Full snowflake left join,3,1.0,1.0,1.0,exact,stable_exact
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass2.query3,Q3,Variant full outer join,0,0.0,1.0,0.975,same_count_wrong_values,stable_fail
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass2.query4,Q4,Condition-impact aggregate,0,0.0,0.8972222222222221,0.8333333333333334,same_count_wrong_values,stable_fail
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass2.query5,Q5,Gene VAF aggregate,0,0.0,0.6,0.0,same_count_wrong_values,stable_fail
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass2.query6,Q6,Tissue complete-chain aggregate,0,0.0,0.7,0.3333333333333333,row_count_mismatch,stable_fail
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass2.query7,Q7,Sample high-impact screen,0,0.0,0.72,0.55,same_count_wrong_values,stable_fail
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass2.query8,Q8,Gene read-quality aggregate,0,0.0,0.9333333333333333,0.8333333333333334,same_count_wrong_values,stable_fail
