model,display_model,family,mean_score,mean_exact_rate
codellama-70b-sqlbench:latest,CodeLlama 70B,aggregation_numeric,0.46562499999999996,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,decision_support,0.3305555555555555,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,failure_family_audit,0.7375,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,join_key_integrity,1.0,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,orphan_key_audit,0.2516666666666667,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,outer_join_coverage,0.8799999999999999,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,ranking_and_priority,0.35,0.0
command-r-plus-sqlbench:latest,Command R+,aggregation_numeric,0.4447916666666667,0.0
command-r-plus-sqlbench:latest,Command R+,decision_support,0.35416666666666663,0.0
command-r-plus-sqlbench:latest,Command R+,failure_family_audit,0.66875,0.0
command-r-plus-sqlbench:latest,Command R+,join_key_integrity,1.0,0.0
command-r-plus-sqlbench:latest,Command R+,orphan_key_audit,0.23500000000000001,0.0
command-r-plus-sqlbench:latest,Command R+,outer_join_coverage,0.9199999999999999,0.0
command-r-plus-sqlbench:latest,Command R+,ranking_and_priority,0.4815384615384615,0.0
dbrx-sqlbench:latest,DBRX,aggregation_numeric,0.475,0.0
dbrx-sqlbench:latest,DBRX,decision_support,0.32916666666666666,0.0
dbrx-sqlbench:latest,DBRX,failure_family_audit,0.66875,0.0
dbrx-sqlbench:latest,DBRX,join_key_integrity,1.0,0.0
dbrx-sqlbench:latest,DBRX,orphan_key_audit,0.37,0.0
dbrx-sqlbench:latest,DBRX,outer_join_coverage,0.7666666666666667,0.0
dbrx-sqlbench:latest,DBRX,ranking_and_priority,0.6638888888888889,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,aggregation_numeric,0.2538690476190476,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,decision_support,0.2888888888888889,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,failure_family_audit,0.88125,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,join_key_integrity,1.0,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,orphan_key_audit,0.33499999999999996,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,outer_join_coverage,0.6877777777777778,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,ranking_and_priority,0.0,0.0
gemma4-26b-sqlbench:latest,Gemma 4 26B,aggregation_numeric,0.334375,0.0
gemma4-26b-sqlbench:latest,Gemma 4 26B,decision_support,0.6367063492063492,0.0
gemma4-26b-sqlbench:latest,Gemma 4 26B,failure_family_audit,0.9187500000000001,0.0
gemma4-26b-sqlbench:latest,Gemma 4 26B,join_key_integrity,1.0,1.0
gemma4-26b-sqlbench:latest,Gemma 4 26B,orphan_key_audit,0.43999999999999995,0.0
gemma4-26b-sqlbench:latest,Gemma 4 26B,outer_join_coverage,0.96,0.0
gemma4-26b-sqlbench:latest,Gemma 4 26B,ranking_and_priority,0.0,0.0
gemma4-31b-sqlbench:latest,Gemma 4 31B,aggregation_numeric,0.7775000000000001,0.0
gemma4-31b-sqlbench:latest,Gemma 4 31B,decision_support,0.7625,0.0
gemma4-31b-sqlbench:latest,Gemma 4 31B,failure_family_audit,0.725,0.0
gemma4-31b-sqlbench:latest,Gemma 4 31B,join_key_integrity,1.0,1.0
gemma4-31b-sqlbench:latest,Gemma 4 31B,orphan_key_audit,0.955,0.5
gemma4-31b-sqlbench:latest,Gemma 4 31B,outer_join_coverage,1.0,1.0
gemma4-31b-sqlbench:latest,Gemma 4 31B,ranking_and_priority,0.95,0.0
llama3-70b-sqlbench:latest,Llama 3 70B,aggregation_numeric,0.47562499999999996,0.0
llama3-70b-sqlbench:latest,Llama 3 70B,decision_support,0.7375,0.0
llama3-70b-sqlbench:latest,Llama 3 70B,failure_family_audit,0.7479166666666667,0.0
llama3-70b-sqlbench:latest,Llama 3 70B,join_key_integrity,1.0,0.0
llama3-70b-sqlbench:latest,Llama 3 70B,orphan_key_audit,0.3816666666666667,0.0
llama3-70b-sqlbench:latest,Llama 3 70B,outer_join_coverage,0.8233333333333335,0.0
llama3-70b-sqlbench:latest,Llama 3 70B,ranking_and_priority,0.7100000000000001,0.0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,aggregation_numeric,0.42666666666666664,0.0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,decision_support,0.4963888888888889,0.0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,failure_family_audit,0.8875,0.0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,join_key_integrity,1.0,1.0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,orphan_key_audit,0.3866666666666667,0.0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,outer_join_coverage,0.8033333333333335,0.0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,ranking_and_priority,0.875,0.0
phi4-mini-sqlbench:latest,Phi-4 Mini,aggregation_numeric,0.21812499999999999,0.0
phi4-mini-sqlbench:latest,Phi-4 Mini,decision_support,0.2672222222222222,0.0
phi4-mini-sqlbench:latest,Phi-4 Mini,failure_family_audit,0.5556547619047619,0.0
phi4-mini-sqlbench:latest,Phi-4 Mini,join_key_integrity,1.0,0.0
phi4-mini-sqlbench:latest,Phi-4 Mini,orphan_key_audit,0.33,0.0
phi4-mini-sqlbench:latest,Phi-4 Mini,outer_join_coverage,0.6733333333333333,0.0
phi4-mini-sqlbench:latest,Phi-4 Mini,ranking_and_priority,0.3138888888888889,0.0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,aggregation_numeric,0.5375,0.0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,decision_support,0.6083333333333334,0.0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,failure_family_audit,0.9437500000000001,0.0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,join_key_integrity,1.0,0.3333333333333333
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,orphan_key_audit,0.47,0.0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,outer_join_coverage,0.9733333333333333,0.0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,ranking_and_priority,0.76,0.0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,aggregation_numeric,0.5510416666666667,0.0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,decision_support,0.4875,0.0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,failure_family_audit,0.6875,0.0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,join_key_integrity,1.0,0.0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,orphan_key_audit,0.39999999999999997,0.0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,outer_join_coverage,0.96,0.0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,ranking_and_priority,0.15,0.0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,aggregation_numeric,0.5454166666666667,0.0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,decision_support,0.6283333333333334,0.0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,failure_family_audit,0.9125,0.0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,join_key_integrity,1.0,0.0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,orphan_key_audit,0.3561111111111111,0.0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,outer_join_coverage,0.96,0.0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,ranking_and_priority,0.6300000000000001,0.0
qwen3.6-sqlbench:latest,Qwen3.6,aggregation_numeric,0.503125,0.0
qwen3.6-sqlbench:latest,Qwen3.6,decision_support,0.4325,0.0
qwen3.6-sqlbench:latest,Qwen3.6,failure_family_audit,0.9624999999999999,0.0
qwen3.6-sqlbench:latest,Qwen3.6,join_key_integrity,1.0,0.0
qwen3.6-sqlbench:latest,Qwen3.6,orphan_key_audit,0.45499999999999996,0.0
qwen3.6-sqlbench:latest,Qwen3.6,outer_join_coverage,0.96,0.0
qwen3.6-sqlbench:latest,Qwen3.6,ranking_and_priority,0.925,0.0
