model,display_model,attempts,exact_attempts,exact_attempt_rate,exact_query_coverage_any,stable_exact_queries,partial_exact_queries,stable_fail_queries,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,mean_sort_correctness,row_count_mismatch_rate,mean_wall_s,mean_gen_tps,exact,order_only,type_only,same_count_wrong_values,row_count_mismatch,column_error,dominant_failure_mode
gemma4-31b-sqlbench:latest,Gemma 4 31B,30,9,0.3,3,3,0,7,0.8665,0.7008333333333333,0.955,0.77,0.79,0.2,58.48705486223238,2.6283059008265863,9,0,0,15,6,0,same_count_wrong_values
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,30,3,0.1,1,1,0,9,0.6185277777777778,0.51,0.7238888888888889,0.5452777777777778,0.615,0.5333333333333333,57.482737280466246,2.4701312044414045,3,0,0,11,16,0,row_count_mismatch
gemma4-26b-sqlbench:latest,Gemma 4 26B,30,3,0.1,1,1,0,9,0.5700912698412698,0.5230952380952381,0.6295238095238095,0.6008333333333333,0.5253968253968254,0.43333333333333335,10.511139558799915,11.992830814940026,3,0,0,14,13,0,same_count_wrong_values
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,30,1,0.03333333333333333,1,0,1,9,0.690875,0.6271296296296296,0.7661111111111111,0.6690277777777778,0.6855555555555556,0.36666666666666664,85.87104160023543,1.6609443283480931,1,0,0,18,11,0,same_count_wrong_values
qwen3.6-sqlbench:latest,Qwen3.6,30,0,0.0,0,0,0,10,0.662875,0.6405555555555555,0.74,0.59625,0.72,0.3,31.357971182770175,7.361993425207669,0,0,0,21,9,0,same_count_wrong_values
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,30,0,0.0,0,0,0,10,0.6562222222222223,0.5244444444444445,0.7622222222222222,0.6333333333333333,0.5755555555555556,0.4666666666666667,12.45382066386713,11.730704214309352,0,0,0,16,14,0,same_count_wrong_values
llama3-70b-sqlbench:latest,Llama 3 70B,30,0,0.0,0,0,0,10,0.6470833333333333,0.5073981481481481,0.74,0.6413888888888889,0.5733333333333334,0.6,65.45323277280161,1.8763002134050741,0,0,0,12,18,0,row_count_mismatch
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,30,0,0.0,0,0,0,10,0.5674583333333333,0.48819444444444443,0.71,0.5293055555555556,0.41833333333333333,0.3333333333333333,42.376384971635225,3.1772132666532897,0,0,0,20,10,0,same_count_wrong_values
dbrx-sqlbench:latest,DBRX,30,0,0.0,0,0,0,10,0.5447638888888889,0.4123148148148148,0.7172222222222222,0.4190277777777778,0.4522222222222222,0.23333333333333334,50.634515882801495,2.63561183857691,0,0,0,23,4,3,same_count_wrong_values
command-r-plus-sqlbench:latest,Command R+,30,0,0.0,0,0,0,10,0.5138205128205128,0.3930740740740741,0.6402564102564102,0.44222222222222224,0.4551282051282051,0.6,193.32067755325698,0.8179259548234441,0,0,0,12,18,0,row_count_mismatch
codellama-70b-sqlbench:latest,CodeLlama 70B,30,0,0.0,0,0,0,10,0.5063194444444444,0.33305555555555555,0.6388888888888888,0.37180555555555556,0.5266666666666666,0.6333333333333333,69.72520153853111,2.0209784677350373,0,0,0,11,19,0,row_count_mismatch
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,30,0,0.0,0,0,0,10,0.4324543650793651,0.3386349206349206,0.5584920634920635,0.34847222222222224,0.3933333333333333,0.4666666666666667,61.74054157413387,2.9189584208951778,0,0,0,16,14,0,same_count_wrong_values
phi4-mini-sqlbench:latest,Phi-4 Mini,30,0,0.0,0,0,0,10,0.41735714285714287,0.2952962962962963,0.5521428571428572,0.39222222222222225,0.2680952380952381,0.5666666666666667,4.445446401265993,85.57577306787901,0,0,0,13,17,0,row_count_mismatch
