model,display_model,pass,exact_attempts,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact
gemma4-31b-sqlbench:latest,Gemma 4 31B,4,3,0.6602,0.5134325396825397,0.7488095238095238,0.6756666666666666,row_count_mismatch,14,13,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,5,0,0.7158694444444444,0.37317460317460316,0.9216666666666666,0.34975,same_count_wrong_values,9,21,0
gemma4-26b-sqlbench:latest,Gemma 4 26B,4,0,0.5587460317460318,0.36637566137566135,0.6951984126984126,0.5211507936507936,same_count_wrong_values,15,15,0
gemma4-26b-sqlbench:latest,Gemma 4 26B,5,0,0.6278980158730159,0.34889682539682537,0.8426190476190476,0.2861944444444445,same_count_wrong_values,10,20,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,4,0,0.5478777777777778,0.3225198412698413,0.6436507936507937,0.577952380952381,row_count_mismatch,18,12,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,5,0,0.6214694444444444,0.27964550264550264,0.8516666666666667,0.24508333333333332,same_count_wrong_values,12,18,0
qwen3.6-sqlbench:latest,Qwen3.6,4,0,0.5413603174603174,0.3587037037037037,0.6344444444444445,0.5615714285714286,row_count_mismatch,18,12,0
qwen3.6-sqlbench:latest,Qwen3.6,5,0,0.572875,0.283505291005291,0.7694444444444445,0.23458333333333334,same_count_wrong_values,12,18,0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,4,0,0.49603492063492066,0.32463888888888887,0.6222222222222222,0.4541904761904762,row_count_mismatch,24,6,0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,5,0,0.5893194444444444,0.2790687830687831,0.8133333333333334,0.22402777777777777,same_count_wrong_values,15,15,0
llama3-70b-sqlbench:latest,Llama 3 70B,4,0,0.5043952380952381,0.27393518518518517,0.645,0.4574285714285714,row_count_mismatch,16,14,0
llama3-70b-sqlbench:latest,Llama 3 70B,5,0,0.5505111111111111,0.25499867724867725,0.7716666666666666,0.16633333333333333,row_count_mismatch,16,14,0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,4,0,0.5101111111111111,0.2835687830687831,0.6174603174603175,0.5284126984126984,row_count_mismatch,19,11,0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,5,0,0.5238472222222222,0.22501763668430336,0.7162962962962963,0.19208333333333333,row_count_mismatch,22,8,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,4,0,0.5017857142857143,0.3790277777777778,0.6394444444444445,0.3987301587301587,row_count_mismatch,16,14,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,5,0,0.52085,0.20387962962962963,0.7394444444444445,0.16616666666666666,row_count_mismatch,21,9,0
command-r-plus-sqlbench:latest,Command R+,4,0,0.5007928571428572,0.3346296296296296,0.6238888888888889,0.44542063492063494,row_count_mismatch,19,11,0
command-r-plus-sqlbench:latest,Command R+,5,0,0.5168680911680912,0.28025193325193326,0.7248290598290599,0.12511111111111112,same_count_wrong_values,11,19,0
codellama-70b-sqlbench:latest,CodeLlama 70B,4,0,0.513568253968254,0.3507962962962963,0.6188888888888889,0.4848571428571429,row_count_mismatch,19,11,0
codellama-70b-sqlbench:latest,CodeLlama 70B,5,0,0.49322314814814816,0.2716596119929453,0.6811111111111111,0.12691666666666668,row_count_mismatch,16,14,0
dbrx-sqlbench:latest,DBRX,4,0,0.47296984126984126,0.2516111111111111,0.605,0.4674920634920635,same_count_wrong_values,14,16,0
dbrx-sqlbench:latest,DBRX,5,0,0.49412222222222224,0.19201058201058202,0.7163888888888889,0.16716666666666666,row_count_mismatch,22,8,0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,4,0,0.5082547619047619,0.3902777777777778,0.6066666666666667,0.49196031746031743,row_count_mismatch,16,14,0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,5,0,0.43204166666666666,0.24253439153439152,0.595,0.11958333333333333,row_count_mismatch,22,8,0
phi4-mini-sqlbench:latest,Phi-4 Mini,4,0,0.39754232804232803,0.2848478835978836,0.5092328042328043,0.3085185185185185,same_count_wrong_values,14,16,0
phi4-mini-sqlbench:latest,Phi-4 Mini,5,0,0.4643231481481481,0.19791358024691358,0.6955555555555556,0.08502777777777779,row_count_mismatch,19,11,0
