model,display_model,attempts,exact_attempts,exact_attempt_rate,queries_with_any_exact,stable_exact_queries,pass4_exact,pass5_exact,pass4_mean_score,pass5_mean_score,pass4_mean_row_set_correctness,pass5_mean_row_set_correctness,pass4_mean_numeric_correctness,pass5_mean_numeric_correctness,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,score_change_pass4_to_pass5,row_set_change_pass4_to_pass5,numeric_change_pass4_to_pass5,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact,order_only,type_only,column_error
gemma4-31b-sqlbench:latest,Gemma 4 31B,60,3,0.05,1,1,3,0,0.6602,0.7158694444444444,0.7488095238095238,0.9216666666666666,0.6756666666666666,0.34975,0.6880347222222222,0.4433035714285714,0.8352380952380952,0.5127083333333333,0.05566944444444444,0.17285714285714282,-0.32591666666666663,same_count_wrong_values,23,34,3,0,0,0
gemma4-26b-sqlbench:latest,Gemma 4 26B,60,0,0.0,0,0,0,0,0.5587460317460318,0.6278980158730159,0.6951984126984126,0.8426190476190476,0.5211507936507936,0.2861944444444445,0.5933220238095238,0.3576362433862434,0.7689087301587302,0.40367261904761903,0.06915198412698409,0.14742063492063495,-0.23495634920634917,same_count_wrong_values,25,35,0,0,0,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,60,0,0.0,0,0,0,0,0.5478777777777778,0.6214694444444444,0.6436507936507937,0.8516666666666667,0.577952380952381,0.24508333333333332,0.5846736111111112,0.30108267195767197,0.7476587301587302,0.41151785714285716,0.07359166666666661,0.208015873015873,-0.3328690476190477,same_count_wrong_values,30,30,0,0,0,0
qwen3.6-sqlbench:latest,Qwen3.6,60,0,0.0,0,0,0,0,0.5413603174603174,0.572875,0.6344444444444445,0.7694444444444445,0.5615714285714286,0.23458333333333334,0.5571176587301587,0.32110449735449736,0.7019444444444445,0.39807738095238093,0.03151468253968259,0.135,-0.32698809523809524,same_count_wrong_values,30,30,0,0,0,0
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,60,0,0.0,0,0,0,0,0.49603492063492066,0.5893194444444444,0.6222222222222222,0.8133333333333334,0.4541904761904762,0.22402777777777777,0.5426771825396826,0.30185383597883597,0.7177777777777777,0.339109126984127,0.09328452380952373,0.19111111111111112,-0.23016269841269843,row_count_mismatch,39,21,0,0,0,0
llama3-70b-sqlbench:latest,Llama 3 70B,60,0,0.0,0,0,0,0,0.5043952380952381,0.5505111111111111,0.645,0.7716666666666666,0.4574285714285714,0.16633333333333333,0.5274531746031746,0.2644669312169312,0.7083333333333334,0.31188095238095237,0.046115873015872944,0.1266666666666666,-0.2910952380952381,row_count_mismatch,32,28,0,0,0,0
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,60,0,0.0,0,0,0,0,0.5101111111111111,0.5238472222222222,0.6174603174603175,0.7162962962962963,0.5284126984126984,0.19208333333333333,0.5169791666666667,0.2542932098765432,0.6668783068783068,0.36024801587301586,0.013736111111111171,0.09883597883597883,-0.3363293650793651,row_count_mismatch,41,19,0,0,0,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,60,0,0.0,0,0,0,0,0.5017857142857143,0.52085,0.6394444444444445,0.7394444444444445,0.3987301587301587,0.16616666666666666,0.5113178571428572,0.2914537037037037,0.6894444444444444,0.2824484126984127,0.019064285714285756,0.09999999999999998,-0.23256349206349206,row_count_mismatch,37,23,0,0,0,0
command-r-plus-sqlbench:latest,Command R+,60,0,0.0,0,0,0,0,0.5007928571428572,0.5168680911680912,0.6238888888888889,0.7248290598290599,0.44542063492063494,0.12511111111111112,0.5088304741554741,0.30744078144078146,0.6743589743589744,0.28526587301587303,0.01607523402523403,0.10094017094017094,-0.3203095238095238,same_count_wrong_values,30,30,0,0,0,0
codellama-70b-sqlbench:latest,CodeLlama 70B,60,0,0.0,0,0,0,0,0.513568253968254,0.49322314814814816,0.6188888888888889,0.6811111111111111,0.4848571428571429,0.12691666666666668,0.5033957010582011,0.3112279541446208,0.65,0.3058869047619048,-0.020345105820105847,0.06222222222222218,-0.3579404761904762,row_count_mismatch,35,25,0,0,0,0
dbrx-sqlbench:latest,DBRX,60,0,0.0,0,0,0,0,0.47296984126984126,0.49412222222222224,0.605,0.7163888888888889,0.4674920634920635,0.16716666666666666,0.4835460317460317,0.22181084656084657,0.6606944444444445,0.3173293650793651,0.021152380952380978,0.11138888888888887,-0.30032539682539683,row_count_mismatch,36,24,0,0,0,0
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,60,0,0.0,0,0,0,0,0.5082547619047619,0.43204166666666666,0.6066666666666667,0.595,0.49196031746031743,0.11958333333333333,0.4701482142857143,0.31640608465608466,0.6008333333333333,0.3057718253968254,-0.07621309523809527,-0.011666666666666714,-0.3723769841269841,row_count_mismatch,38,22,0,0,0,0
phi4-mini-sqlbench:latest,Phi-4 Mini,60,0,0.0,0,0,0,0,0.39754232804232803,0.4643231481481481,0.5092328042328043,0.6955555555555556,0.3085185185185185,0.08502777777777779,0.4309327380952381,0.2413807319223986,0.6023941798941799,0.19677314814814814,0.0667808201058201,0.18632275132275133,-0.22349074074074074,row_count_mismatch,33,27,0,0,0,0
