case_id,query,pass,query_no,difficulty,language,primary_failure_family,attempts,exact_attempts,exact_attempt_rate,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact,order_only,type_only,column_error
pass4.query1,P4 Q1,4,1,extra_hard,python,audit_reconciliation,39,0,0,0.8490384615384615,0.7483974358974359,1.0,0.4967948717948718,same_count_wrong_values,0,39,0,0,0,0
pass4.query2,P4 Q2,4,2,extra_hard,python,aggregation_numeric,39,0,0,0.40023504273504273,0.21876780626780626,0.5348290598290598,0.2585470085470085,row_count_mismatch,30,9,0,0,0,0
pass4.query3,P4 Q3,4,3,extra_hard,python,decision_support,39,0,0,0.3078418803418803,0.2263024013024013,0.38663003663003664,0.22115384615384615,row_count_mismatch,34,5,0,0,0,0
pass4.query4,P4 Q4,4,4,extra_hard,python,decision_support,39,0,0,0.38623931623931623,0.23846153846153845,0.3905982905982906,0.40170940170940167,row_count_mismatch,39,0,0,0,0,0
pass4.query5,P4 Q5,4,5,extra_hard,python,expression_mapping,39,0,0,0.6411794871794873,0.33931623931623933,0.8179487179487179,0.48,row_count_mismatch,24,15,0,0,0,0
pass4.query6,P4 Q6,4,6,extra_hard,python,decision_support,39,0,0,0.6487179487179487,0.4846153846153846,0.882051282051282,0.2,same_count_wrong_values,13,26,0,0,0,0
pass4.query7,P4 Q7,4,7,extra_hard,python,orphan_key_audit,39,0,0,0.0,0.1482905982905983,0.0,1.0,row_count_mismatch,23,16,0,0,0,0
pass4.query8,P4 Q8,4,8,extra_hard,python,presentation_table,39,0,0,0.471007326007326,0.13681318681318683,0.5454212454212454,0.6089743589743589,row_count_mismatch,37,2,0,0,0,0
pass4.query9,P4 Q9,4,9,extra_hard,python,decision_support,39,0,0,0.47147435897435896,0.03076923076923077,0.7692307692307693,0.2467948717948718,row_count_mismatch,20,19,0,0,0,0
pass4.query10,P4 Q10,4,10,extra_hard,python,repairability_review,39,3,0.07692307692307693,0.9886039886039886,0.8393162393162393,0.9886039886039886,0.9886039886039886,same_count_wrong_values,2,34,3,0,0,0
pass5.query1,P5 Q1,5,1,extreme_hard,python,expression_transform,39,0,0,0.6766666666666666,0.335042735042735,0.9435897435897436,0.05384615384615384,same_count_wrong_values,11,28,0,0,0,0
pass5.query2,P5 Q2,5,2,extreme_hard,python,expression_transform,39,0,0,0.5401862809555117,0.26698900577105705,0.6114069690992767,0.4829059829059829,row_count_mismatch,39,0,0,0,0,0
pass5.query3,P5 Q3,5,3,extreme_hard,python,statistical_summary,39,0,0,0.40783119658119654,0.33513770180436847,0.49394586894586895,0.34455128205128205,row_count_mismatch,28,11,0,0,0,0
pass5.query4,P5 Q4,5,4,extreme_hard,python,statistical_summary,39,0,0,0.6955128205128205,0.2483974358974359,0.9935897435897436,0.0,same_count_wrong_values,1,38,0,0,0,0
pass5.query5,P5 Q5,5,5,extreme_hard,python,decision_support,39,0,0,0.3753418803418803,0.23041310541310542,0.5226495726495727,0.16666666666666666,row_count_mismatch,34,5,0,0,0,0
pass5.query6,P5 Q6,5,6,extreme_hard,python,statistical_summary,39,0,0,0.5676923076923077,0.13094017094017094,0.8735042735042735,0.0,row_count_mismatch,22,17,0,0,0,0
pass5.query7,P5 Q7,5,7,extreme_hard,python,repeatability_probe,39,0,0,0.7108974358974359,0.37393162393162394,0.9102564102564102,0.24572649572649571,same_count_wrong_values,9,30,0,0,0,0
pass5.query8,P5 Q8,5,8,extreme_hard,python,decision_support,39,0,0,0.7260512820512821,0.43272283272283274,0.9452991452991453,0.39794871794871794,same_count_wrong_values,7,32,0,0,0,0
pass5.query9,P5 Q9,5,9,extreme_hard,python,ranking_and_priority,39,0,0,0.28780830280830283,0.17916157916157915,0.3973137973137973,0.202991452991453,row_count_mismatch,34,5,0,0,0,0
pass5.query10,P5 Q10,5,10,extreme_hard,python,statistical_summary,39,0,0,0.49141025641025643,0.1076923076923077,0.8769230769230769,0.019230769230769232,row_count_mismatch,22,17,0,0,0,0
