case_id,query,short_name,prompt,primary_failure_family,exact_attempts,exact_attempt_rate,exact_models_any,exact_models_stable,mean_score,mean_aligned_cell_accuracy,row_count_mismatch_attempts,same_count_wrong_attempts,order_only_attempts,type_only_attempts,column_error_attempts,dominant_failure_mode
pass5.query1,Q1,Sample expression features,"Using pandas and sample_dim only, compute these expression features for every sample:
- log2_expr_ndhb = log2(expr_ndhb + 1)
- log2_expr_pgr5 = log2(expr_pgr5 + 1)
- log2_expr_ndhk = log2(expr_ndhk + 1)
- ndh_module_ratio = (expr_ndhb + expr_ndhk) / (expr_ndhb + expr_pgr5 + expr_ndhk)
Return: sample_id, tissue, log2_expr_ndhb, log2_expr_pgr5, log2_expr_ndhk, ndh_module_ratio
Sort by sample_id ascending.
Round all derived decimals to 3 decimals.",expression_transform,0,0,0,0,0.6766666666666666,0.335042735042735,11,28,0,0,0,same_count_wrong_values
pass5.query2,Q2,Expression-weighted VAF,"Using pandas and complete-chain matched rows only, map matched expression by gene_symbol using the standard mapping.
Compute:
- matched_expr_count
- log2_matched_expr = log2(matched_expr_count + 1)
- vaf = alt_reads / total_reads
- expr_weighted_vaf = vaf * log2_matched_expr
Return: call_id, gene_symbol, matched_expr_count, log2_matched_expr, vaf, expr_weighted_vaf
Sort by call_id ascending.
Round derived decimals to 3 decimals.",expression_transform,0,0,0,0,0.5401862809555117,0.26698900577105705,39,0,0,0,0,row_count_mismatch
pass5.query3,Q3,Condition-gene statistics,"Using pandas and complete-chain matched rows only, group by condition and gene_symbol.
Compute:
- n_calls
- mean_matched_expr
- median_matched_expr
- pop_std_matched_expr using ddof=0
Return: condition, gene_symbol, n_calls, mean_matched_expr, median_matched_expr, pop_std_matched_expr
Sort by condition ascending, then gene_symbol ascending.
Round decimal outputs to 3 decimals.",statistical_summary,0,0,0,0,0.40783119658119654,0.33513770180436847,28,11,0,0,0,row_count_mismatch
pass5.query4,Q4,Stress-control log2 delta,"Using pandas and sample_dim only, define:
- stress_group = 'stress' for conditions high_light or drought
- stress_group = 'control' for condition control
For each gene marker (NDHB, NDHK, PGR5), compute:
- stress_mean_log2
- control_mean_log2
- delta_log2_stress_minus_control
Use:
- NDHB from expr_ndhb
- NDHK from expr_ndhk
- PGR5 from expr_pgr5
Apply log2(x + 1) before averaging.
Return: gene_symbol, stress_mean_log2, control_mean_log2, delta_log2_stress_minus_control
Sort by gene_symbol ascending.
Round decimal outputs to 3 decimals.",statistical_summary,0,0,0,0,0.6955128205128205,0.2483974358974359,1,38,0,0,0,same_count_wrong_values
pass5.query5,Q5,Pathway-tissue burden,"Using pandas and complete-chain non-reference rows only where genotype <> '0/0', group by pathway and tissue.
Compute:
- non_reference_calls
- mean_vaf
- mean_log2_matched_expr
- burden_score = sum(vaf * log2(matched_expr_count + 1))
Return: pathway, tissue, non_reference_calls, mean_vaf, mean_log2_matched_expr, burden_score
Sort by pathway ascending, then tissue ascending.
Round decimal outputs to 3 decimals.",decision_support,0,0,0,0,0.3753418803418803,0.23041310541310542,34,5,0,0,0,row_count_mismatch
pass5.query6,Q6,Sample expression z-scores,"Using pandas and sample_dim only, compute population z-scores for each expression marker:
- z_ndhb from expr_ndhb
- z_pgr5 from expr_pgr5
- z_ndhk from expr_ndhk
Use population standard deviation with ddof=0.
Then compute:
- photosynthesis_expr_z_mean = mean(z_ndhb, z_pgr5, z_ndhk)
Return: sample_id, z_ndhb, z_pgr5, z_ndhk, photosynthesis_expr_z_mean
Sort by photosynthesis_expr_z_mean descending, then sample_id ascending.
Round decimal outputs to 3 decimals.",statistical_summary,0,0,0,0,0.5676923076923077,0.13094017094017094,22,17,0,0,0,row_count_mismatch
pass5.query7,Q7,Condition CV summary,"Using pandas and complete-chain matched rows only, create a condition-level integrative summary.
For each condition, compute:
- distinct_genes_observed
- mean_matched_expr
- cv_matched_expr = population_std(matched_expr_count, ddof=0) / mean(matched_expr_count)
- mean_vaf
Return: condition, distinct_genes_observed, mean_matched_expr, cv_matched_expr, mean_vaf
Sort by condition ascending.
Round decimal outputs to 3 decimals.",repeatability_probe,0,0,0,0,0.7108974358974359,0.37393162393162394,9,30,0,0,0,same_count_wrong_values
pass5.query8,Q8,Sample variant pressure,"Using pandas, compute a plant-photosynthesis burden table at sample level.
Start from sample_dim and left join in complete-chain non-reference calls where genotype <> '0/0'.
For each sample, compute:
- non_reference_complete_chain_calls
- high_or_moderate_nonref_calls where impact IN ('high','moderate')
- total_marker_expr = expr_ndhb + expr_pgr5 + expr_ndhk
- log2_total_marker_expr = log2(total_marker_expr + 1)
- photosynthesis_variant_pressure = high_or_moderate_nonref_calls * log2_total_marker_expr
Return:
sample_id, tissue, non_reference_complete_chain_calls, high_or_moderate_nonref_calls, total_marker_expr, log2_total_marker_expr, photosynthesis_variant_pressure
Include samples with zero calls.
Sort by photosynthesis_variant_pressure descending, then sample_id ascending.
Round decimal outputs to 3 decimals.",decision_support,0,0,0,0,0.7260512820512821,0.43272283272283274,7,32,0,0,0,same_count_wrong_values
pass5.query9,Q9,Condition-gene signal ranking,"Using pandas and complete-chain non-reference rows only where genotype <> '0/0', build a condition-by-gene decision summary.
Compute:
- non_reference_calls
- mean_vaf
- mean_log2_matched_expr
- expression_weighted_signal = mean_vaf * mean_log2_matched_expr
Return: condition, gene_symbol, non_reference_calls, mean_vaf, mean_log2_matched_expr, expression_weighted_signal
Sort by expression_weighted_signal descending, then gene_symbol ascending, then condition ascending.
Round decimal outputs to 3 decimals.",ranking_and_priority,0,0,0,0,0.28780830280830283,0.17916157916157915,34,5,0,0,0,row_count_mismatch
pass5.query10,Q10,Marker composition shares,"Using pandas and sample_dim only, compute marker composition shares and imbalance.
For each sample, compute:
- ndhb_share = expr_ndhb / (expr_ndhb + expr_pgr5 + expr_ndhk)
- pgr5_share = expr_pgr5 / (expr_ndhb + expr_pgr5 + expr_ndhk)
- ndhk_share = expr_ndhk / (expr_ndhb + expr_pgr5 + expr_ndhk)
- marker_imbalance = max(share) - min(share)
Return: sample_id, condition, ndhb_share, pgr5_share, ndhk_share, marker_imbalance
Sort by marker_imbalance descending, then sample_id ascending.
Round decimal outputs to 3 decimals.",statistical_summary,0,0,0,0,0.49141025641025643,0.1076923076923077,22,17,0,0,0,row_count_mismatch
