model,display_model,case_id,query,exact_attempts,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,dominant_failure_mode,top_issue,top_issue_count
codellama-70b-sqlbench:latest,CodeLlama 70B,pass5.query1,Q1,0,0.56,0.26666666666666666,0.8,row_count_mismatch,q1_wrong_sample_set,3
codellama-70b-sqlbench:latest,CodeLlama 70B,pass5.query2,Q2,0,0.3737037037037037,0.1728395061728395,0.4444444444444444,row_count_mismatch,q2_wrong_call_set,3
codellama-70b-sqlbench:latest,CodeLlama 70B,pass5.query3,Q3,0,0.3120833333333333,0.41111111111111115,0.36666666666666664,same_count_wrong_values,q3_wrong_group_set,3
codellama-70b-sqlbench:latest,CodeLlama 70B,pass5.query4,Q4,0,0.7,0.25,1.0,same_count_wrong_values,q4_wrong_stress_or_control_mean,3
codellama-70b-sqlbench:latest,CodeLlama 70B,pass5.query5,Q5,0,0.33888888888888885,0.2777777777777778,0.4444444444444444,row_count_mismatch,q5_wrong_group_set,3
codellama-70b-sqlbench:latest,CodeLlama 70B,pass5.query6,Q6,0,0.48000000000000004,0.08,0.8,row_count_mismatch,q6_wrong_sample_set,3
codellama-70b-sqlbench:latest,CodeLlama 70B,pass5.query7,Q7,0,0.7666666666666667,0.37777777777777777,1.0,same_count_wrong_values,q7_wrong_mean_expr,3
codellama-70b-sqlbench:latest,CodeLlama 70B,pass5.query8,Q8,0,0.792,0.4952380952380952,1.0,same_count_wrong_values,q8_wrong_counts,3
codellama-70b-sqlbench:latest,CodeLlama 70B,pass5.query9,Q9,0,0.18888888888888888,0.2962962962962963,0.2222222222222222,same_count_wrong_values,q9_wrong_group_set,3
codellama-70b-sqlbench:latest,CodeLlama 70B,pass5.query10,Q10,0,0.42,0.08888888888888889,0.7333333333333333,row_count_mismatch,q10_wrong_shares,3
command-r-plus-sqlbench:latest,Command R+,pass5.query1,Q1,0,0.7,0.3333333333333333,1.0,same_count_wrong_values,q1_wrong_log2_transform,3
command-r-plus-sqlbench:latest,Command R+,pass5.query2,Q2,0,0.5183475783475784,0.17378917378917377,0.5982905982905983,row_count_mismatch,q2_wrong_call_set,3
command-r-plus-sqlbench:latest,Command R+,pass5.query3,Q3,0,0.175,0.5555555555555556,0.25,same_count_wrong_values,q3_wrong_group_set,3
command-r-plus-sqlbench:latest,Command R+,pass5.query4,Q4,0,0.7,0.25,1.0,same_count_wrong_values,q4_wrong_stress_or_control_mean,3
command-r-plus-sqlbench:latest,Command R+,pass5.query5,Q5,0,0.23333333333333334,0.16666666666666666,0.3333333333333333,row_count_mismatch,q5_wrong_group_set,3
command-r-plus-sqlbench:latest,Command R+,pass5.query6,Q6,0,0.62,0.12,1.0,same_count_wrong_values,q6_wrong_sort,3
command-r-plus-sqlbench:latest,Command R+,pass5.query7,Q7,0,0.7333333333333333,0.28888888888888886,1.0,same_count_wrong_values,q7_wrong_gene_count,3
command-r-plus-sqlbench:latest,Command R+,pass5.query8,Q8,0,0.8520000000000001,0.6476190476190476,1.0,same_count_wrong_values,q8_wrong_marker_expr,3
command-r-plus-sqlbench:latest,Command R+,pass5.query9,Q9,0,0.15,0.14444444444444443,0.2,row_count_mismatch,q9_wrong_group_set,3
command-r-plus-sqlbench:latest,Command R+,pass5.query10,Q10,0,0.48666666666666675,0.12222222222222222,0.8666666666666667,row_count_mismatch,q10_wrong_shares,3
dbrx-sqlbench:latest,DBRX,pass5.query1,Q1,0,0.7100000000000001,0.3222222222222222,1.0,same_count_wrong_values,q1_wrong_log2_transform,3
dbrx-sqlbench:latest,DBRX,pass5.query2,Q2,0,0.5977777777777777,0.2777777777777778,0.6666666666666666,row_count_mismatch,q2_wrong_call_set,3
dbrx-sqlbench:latest,DBRX,pass5.query3,Q3,0,0.22694444444444445,0.11388888888888889,0.30277777777777776,row_count_mismatch,q3_wrong_group_set,3
dbrx-sqlbench:latest,DBRX,pass5.query4,Q4,0,0.7,0.25,1.0,same_count_wrong_values,q4_wrong_stress_or_control_mean,3
dbrx-sqlbench:latest,DBRX,pass5.query5,Q5,0,0.48472222222222217,0.3148148148148148,0.6666666666666666,row_count_mismatch,q5_wrong_group_set,3
dbrx-sqlbench:latest,DBRX,pass5.query6,Q6,0,0.43333333333333335,0.022222222222222223,0.8222222222222223,row_count_mismatch,q6_wrong_sample_set,3
dbrx-sqlbench:latest,DBRX,pass5.query7,Q7,0,0.525,0.23333333333333334,0.6666666666666666,row_count_mismatch,q7_wrong_condition_set,3
dbrx-sqlbench:latest,DBRX,pass5.query8,Q8,0,0.5173333333333334,0.16825396825396824,0.8222222222222223,row_count_mismatch,q8_wrong_sample_set,3
dbrx-sqlbench:latest,DBRX,pass5.query9,Q9,0,0.3194444444444445,0.10648148148148148,0.4166666666666667,row_count_mismatch,q9_wrong_group_set,3
dbrx-sqlbench:latest,DBRX,pass5.query10,Q10,0,0.4266666666666667,0.11111111111111112,0.8,row_count_mismatch,q10_wrong_sample_set,3
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass5.query1,Q1,0,0.6066666666666667,0.28888888888888886,0.8666666666666667,row_count_mismatch,q1_wrong_log2_transform,3
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass5.query2,Q2,0,0.27666666666666667,0.0625,0.35,row_count_mismatch,q2_wrong_call_set,3
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass5.query3,Q3,0,0.39166666666666666,0.18518518518518517,0.4444444444444444,row_count_mismatch,q3_wrong_group_set,3
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass5.query4,Q4,0,0.7,0.25,1.0,same_count_wrong_values,q4_wrong_stress_or_control_mean,3
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass5.query5,Q5,0,0.6541666666666666,0.3888888888888889,0.8333333333333334,same_count_wrong_values,q5_wrong_vaf,3
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass5.query6,Q6,0,0.48000000000000004,0.08,0.8,row_count_mismatch,q6_wrong_sample_set,3
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass5.query7,Q7,0,0.7749999999999999,0.4,1.0,same_count_wrong_values,q7_wrong_mean_expr,3
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass5.query8,Q8,0,0.5760000000000001,0.2,0.8,row_count_mismatch,q8_wrong_sample_set,3
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass5.query9,Q9,0,0.30833333333333335,0.08333333333333333,0.5,row_count_mismatch,q9_wrong_group_set,3
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,pass5.query10,Q10,0,0.44000000000000006,0.1,0.8,row_count_mismatch,q10_wrong_sample_set,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass5.query1,Q1,0,0.7699999999999999,0.45555555555555555,1.0,same_count_wrong_values,q1_wrong_log2_transform,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass5.query2,Q2,0,0.6711111111111111,0.4444444444444444,0.6666666666666666,row_count_mismatch,q2_wrong_call_set,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass5.query3,Q3,0,0.59375,0.625,0.75,same_count_wrong_values,q3_wrong_group_set,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass5.query4,Q4,0,0.7,0.25,1.0,same_count_wrong_values,q4_wrong_stress_or_control_mean,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass5.query5,Q5,0,0.5125,0.3333333333333333,0.6666666666666666,row_count_mismatch,q5_wrong_group_set,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass5.query6,Q6,0,0.56,0.16,0.8,same_count_wrong_values,q6_wrong_sample_set,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass5.query7,Q7,0,0.7749999999999999,0.4,1.0,same_count_wrong_values,q7_wrong_mean_expr,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass5.query8,Q8,0,0.784,0.5619047619047619,1.0,same_count_wrong_values,q8_wrong_sort,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass5.query9,Q9,0,0.3726190476190476,0.15873015873015872,0.5428571428571428,row_count_mismatch,q9_wrong_group_set,3
gemma4-26b-sqlbench:latest,Gemma 4 26B,pass5.query10,Q10,0,0.54,0.1,1.0,same_count_wrong_values,q10_wrong_sort,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass5.query1,Q1,0,0.8049999999999999,0.4444444444444445,1.0,same_count_wrong_values,q1_wrong_log2_transform,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass5.query2,Q2,0,0.6644444444444444,0.4444444444444444,0.6666666666666666,row_count_mismatch,q2_wrong_call_set,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass5.query3,Q3,0,0.6487499999999999,0.43333333333333335,0.8,row_count_mismatch,q3_wrong_group_set,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass5.query4,Q4,0,0.7,0.25,1.0,same_count_wrong_values,q4_wrong_stress_or_control_mean,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass5.query5,Q5,0,0.8125,0.5833333333333334,1.0,same_count_wrong_values,q5_wrong_vaf,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass5.query6,Q6,0,0.7,0.2,1.0,same_count_wrong_values,q6_wrong_zscore,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass5.query7,Q7,0,0.75,0.3333333333333333,1.0,same_count_wrong_values,q7_wrong_mean_expr,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass5.query8,Q8,0,0.788,0.47619047619047616,1.0,same_count_wrong_values,q8_wrong_sort,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass5.query9,Q9,0,0.675,0.5,0.75,row_count_mismatch,q9_wrong_group_set,3
gemma4-31b-sqlbench:latest,Gemma 4 31B,pass5.query10,Q10,0,0.615,0.06666666666666667,1.0,same_count_wrong_values,q10_wrong_sort,3
llama3-70b-sqlbench:latest,Llama 3 70B,pass5.query1,Q1,0,0.7,0.3333333333333333,1.0,same_count_wrong_values,q1_wrong_log2_transform,3
llama3-70b-sqlbench:latest,Llama 3 70B,pass5.query2,Q2,0,0.5744444444444444,0.2222222222222222,0.6666666666666666,row_count_mismatch,q2_wrong_call_set,3
llama3-70b-sqlbench:latest,Llama 3 70B,pass5.query3,Q3,0,0.33749999999999997,0.25,0.5,row_count_mismatch,q3_wrong_group_set,3
llama3-70b-sqlbench:latest,Llama 3 70B,pass5.query4,Q4,0,0.6416666666666666,0.22916666666666666,0.9166666666666666,same_count_wrong_values,q4_wrong_stress_or_control_mean,3
llama3-70b-sqlbench:latest,Llama 3 70B,pass5.query5,Q5,0,0.33749999999999997,0.20833333333333334,0.5,row_count_mismatch,q5_wrong_group_set,3
llama3-70b-sqlbench:latest,Llama 3 70B,pass5.query6,Q6,0,0.6066666666666667,0.17333333333333334,0.8666666666666667,row_count_mismatch,q6_wrong_zscore,3
llama3-70b-sqlbench:latest,Llama 3 70B,pass5.query7,Q7,0,0.8,0.4666666666666667,1.0,same_count_wrong_values,q7_wrong_mean_expr,3
llama3-70b-sqlbench:latest,Llama 3 70B,pass5.query8,Q8,0,0.7173333333333334,0.4095238095238095,0.9333333333333333,same_count_wrong_values,q8_wrong_marker_expr,3
llama3-70b-sqlbench:latest,Llama 3 70B,pass5.query9,Q9,0,0.24999999999999997,0.1574074074074074,0.3333333333333333,row_count_mismatch,q9_wrong_group_set,3
llama3-70b-sqlbench:latest,Llama 3 70B,pass5.query10,Q10,0,0.54,0.1,1.0,same_count_wrong_values,q10_wrong_sort,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass5.query1,Q1,0,0.5650000000000001,0.26666666666666666,0.8,row_count_mismatch,q1_wrong_sample_set,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass5.query2,Q2,0,0.6077777777777778,0.2962962962962963,0.6666666666666666,row_count_mismatch,q2_wrong_call_set,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass5.query3,Q3,0,0.4615277777777778,0.29012345679012347,0.4962962962962963,row_count_mismatch,q3_wrong_group_set,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass5.query4,Q4,0,0.7,0.25,1.0,same_count_wrong_values,q4_wrong_stress_or_control_mean,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass5.query5,Q5,0,0.2375,0.1111111111111111,0.3333333333333333,row_count_mismatch,q5_wrong_group_set,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass5.query6,Q6,0,0.5333333333333334,0.13333333333333333,0.8,row_count_mismatch,q6_wrong_sample_set,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass5.query7,Q7,0,0.8,0.4666666666666667,1.0,same_count_wrong_values,q7_wrong_mean_expr,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass5.query8,Q8,0,0.66,0.29523809523809524,0.9333333333333333,same_count_wrong_values,q8_wrong_counts,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass5.query9,Q9,0,0.2333333333333333,0.07407407407407407,0.3333333333333333,row_count_mismatch,q9_wrong_group_set,3
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,pass5.query10,Q10,0,0.44000000000000006,0.06666666666666667,0.8,row_count_mismatch,q10_wrong_sample_set,3
phi4-mini-sqlbench:latest,Phi-4 Mini,pass5.query1,Q1,0,0.7,0.3333333333333333,1.0,same_count_wrong_values,q1_wrong_log2_transform,3
phi4-mini-sqlbench:latest,Phi-4 Mini,pass5.query2,Q2,0,0.47814814814814816,0.08024691358024691,0.7222222222222222,row_count_mismatch,q2_wrong_call_set,3
phi4-mini-sqlbench:latest,Phi-4 Mini,pass5.query3,Q3,0,0.30875,0.28888888888888886,0.4,row_count_mismatch,q3_wrong_group_set,3
phi4-mini-sqlbench:latest,Phi-4 Mini,pass5.query4,Q4,0,0.7,0.25,1.0,same_count_wrong_values,q4_wrong_stress_or_control_mean,3
phi4-mini-sqlbench:latest,Phi-4 Mini,pass5.query5,Q5,0,0.3583333333333333,0.05555555555555555,0.6666666666666666,row_count_mismatch,q5_wrong_group_set,3
phi4-mini-sqlbench:latest,Phi-4 Mini,pass5.query6,Q6,0,0.5266666666666667,0.09333333333333334,0.8666666666666667,row_count_mismatch,q6_wrong_zscore,3
phi4-mini-sqlbench:latest,Phi-4 Mini,pass5.query7,Q7,0,0.3833333333333333,0.18333333333333335,0.5,row_count_mismatch,q7_wrong_condition_set,3
phi4-mini-sqlbench:latest,Phi-4 Mini,pass5.query8,Q8,0,0.748,0.4,1.0,same_count_wrong_values,q8_wrong_counts,3
phi4-mini-sqlbench:latest,Phi-4 Mini,pass5.query9,Q9,0,0.0,0.19444444444444445,0.0,row_count_mismatch,q9_wrong_group_set,3
phi4-mini-sqlbench:latest,Phi-4 Mini,pass5.query10,Q10,0,0.44000000000000006,0.1,0.8,row_count_mismatch,q10_wrong_sample_set,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass5.query1,Q1,0,0.705,0.34444444444444444,1.0,same_count_wrong_values,q1_wrong_log2_transform,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass5.query2,Q2,0,0.6544444444444445,0.4074074074074074,0.6666666666666666,row_count_mismatch,q2_wrong_call_set,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass5.query3,Q3,0,0.39375,0.3611111111111111,0.5,same_count_wrong_values,q3_wrong_group_set,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass5.query4,Q4,0,0.7,0.25,1.0,same_count_wrong_values,q4_wrong_stress_or_control_mean,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass5.query5,Q5,0,0.44999999999999996,0.24074074074074073,0.6666666666666666,row_count_mismatch,q5_wrong_group_set,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass5.query6,Q6,0,0.56,0.16,0.8,row_count_mismatch,q6_wrong_sample_set,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass5.query7,Q7,0,0.7749999999999999,0.4,1.0,same_count_wrong_values,q7_wrong_mean_expr,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass5.query8,Q8,0,0.76,0.37142857142857144,1.0,same_count_wrong_values,q8_wrong_sort,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass5.query9,Q9,0,0.455,0.15555555555555556,0.7,row_count_mismatch,q9_wrong_group_set,3
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,pass5.query10,Q10,0,0.44000000000000006,0.1,0.8,row_count_mismatch,q10_wrong_sample_set,3
